panel	line	entry	canonical_attempt	note
HIE.txt	3812	12-Sep	12-Sep	not_current_hgnc_after_official_aliases
HIE.txt	3813	9-Sep	9-Sep	not_current_hgnc_after_official_aliases
Monosomy_7_syndrome_panel.txt	29	JAGN	JAGN	not_current_hgnc_after_official_aliases
Monosomy_7_syndrome_panel.txt	30	TCRG1	TCRG1	not_current_hgnc_after_official_aliases
congenital_immunodeficiency_panel.txt	132	TNFS12	TNFS12	not_current_hgnc_after_official_aliases
congenital_immunodeficiency_panel.txt	194	CLBP	CLBP	not_current_hgnc_after_official_aliases
congenital_immunodeficiency_panel.txt	239	HMOX	HMOX	not_current_hgnc_after_official_aliases
congenital_immunodeficiency_panel.txt	269	PSEN	PSEN	not_current_hgnc_after_official_aliases
congenital_immunodeficiency_panel.txt	299	ALP1	ALP1	not_current_hgnc_after_official_aliases
congenital_immunodeficiency_panel.txt	328	TNFAIP	TNFAIP	not_current_hgnc_after_official_aliases
febrile_encephalopathy.txt	6	HNPRU	HNPRU	not_current_hgnc_after_official_aliases
growth_panel.txt	216	KMT2D/MLL2	KMT2D/MLL2	not_current_hgnc_after_official_aliases
hearing_loss.txt	76	KNCQ1	KNCQ1	not_current_hgnc_after_official_aliases
heart_disease.txt	76	AH1	AH1	not_current_hgnc_after_official_aliases
heart_disease.txt	111	PDE60	PDE60	not_current_hgnc_after_official_aliases
heart_disease.txt	112	POC18	POC18	not_current_hgnc_after_official_aliases
heart_disease.txt	237	LBD3	LBD3	not_current_hgnc_after_official_aliases
heart_disease.txt	323	CDKNIC	CDKNIC	not_current_hgnc_after_official_aliases
heart_disease.txt	329	ESC02	ESC02	not_current_hgnc_after_official_aliases
heart_disease.txt	330	RDR2	RDR2	not_current_hgnc_after_official_aliases
heart_disease.txt	427	AH1	AH1	not_current_hgnc_after_official_aliases
heart_disease.txt	462	PDE60	PDE60	not_current_hgnc_after_official_aliases
heart_disease.txt	463	POC18	POC18	not_current_hgnc_after_official_aliases
hereditary_cancer.txt	104	TNFRSF6 (FAS)	TNFRSF6 (FAS)	not_current_hgnc_after_official_aliases
inborn_error.txt	82	ALDH3A2M	ALDH3A2M	not_current_hgnc_after_official_aliases
inborn_error.txt	199	B3GNT1	B3GNT1	not_current_hgnc_after_official_aliases
inborn_error.txt	523	DY	DY	not_current_hgnc_after_official_aliases
inborn_error.txt	662	GBE=GBE1	GBE=GBE1	not_current_hgnc_after_official_aliases
inborn_error.txt	695	GM1	GM1	not_current_hgnc_after_official_aliases
inborn_error.txt	822	IFT64	IFT64	not_current_hgnc_after_official_aliases
inborn_error_panel.txt	130	ALDH3A2M	ALDH3A2M	not_current_hgnc_after_official_aliases
inborn_error_panel.txt	284	B3GNT1	B3GNT1	not_current_hgnc_after_official_aliases
inborn_error_panel.txt	706	DY	DY	not_current_hgnc_after_official_aliases
inborn_error_panel.txt	889	GBE=GBE1	GBE=GBE1	not_current_hgnc_after_official_aliases
inborn_error_panel.txt	941	GM1	GM1	not_current_hgnc_after_official_aliases
inborn_error_panel.txt	1127	IFT64	IFT64	not_current_hgnc_after_official_aliases
neutropenia_panel.txt	168	CSFR2B	CSFR2B	not_current_hgnc_after_official_aliases
proactive.txt	403	Mitochondrial genes	Mitochondrial genes	not_current_hgnc_after_official_aliases
renal_disease_panel.txt	245	GNASGAS1	GNASGAS1	not_current_hgnc_after_official_aliases
