panel	line	entry	category	reason	candidate	suggested_action
Monosomy_7_syndrome_panel.txt	30	TCRG1	symbol_like_unresolved	Not present as HGNC-current, unique previous symbol, unique alias, or withdrawn replacement.	TCIRG1|TCERG1|TCERG1L|TRGV1|TRGJ1	manual_review_source
congenital_immunodeficiency_panel.txt	194	CLBP	symbol_like_unresolved	Not present as HGNC-current, unique previous symbol, unique alias, or withdrawn replacement.	LBP	manual_review_source
congenital_immunodeficiency_panel.txt	239	HMOX	ambiguous_truncated_symbol	Looks like a truncated gene-family prefix; multiple HGNC-current genes are plausible.	HMOX1/HMOX2	manual_review_source
congenital_immunodeficiency_panel.txt	269	PSEN	ambiguous_truncated_symbol	Looks like a truncated gene-family prefix; multiple HGNC-current genes are plausible.	PSEN1/PSEN2	manual_review_source
congenital_immunodeficiency_panel.txt	299	ALP1	symbol_like_unresolved	Not present as HGNC-current, unique previous symbol, unique alias, or withdrawn replacement.	ASLP1|APLP1|ALPK1|RALBP1|PARLP1	manual_review_source
congenital_immunodeficiency_panel.txt	328	TNFAIP	ambiguous_truncated_symbol	Looks like a truncated gene-family prefix; multiple HGNC-current genes are plausible.	TNFAIP1/2/3/6/8	manual_review_source
heart_disease.txt	76	AH1	ambiguous_truncated_symbol	Looks like a truncated gene-family prefix; multiple HGNC-current genes are plausible.	AHI1?	manual_review_source
heart_disease.txt	111	PDE60	ambiguous_truncated_symbol	Looks like a truncated gene-family prefix; multiple HGNC-current genes are plausible.	PDE6B/C/D/G/H?	manual_review_source
heart_disease.txt	112	POC18	ambiguous_truncated_symbol	Looks like a truncated gene-family prefix; multiple HGNC-current genes are plausible.	POC1A/POC1B?	manual_review_source
heart_disease.txt	329	ESC02	symbol_like_unresolved	Not present as HGNC-current, unique previous symbol, unique alias, or withdrawn replacement.	ESCO2	manual_review_source
heart_disease.txt	330	RDR2	symbol_like_unresolved	Not present as HGNC-current, unique previous symbol, unique alias, or withdrawn replacement.		manual_review_source
heart_disease.txt	427	AH1	ambiguous_truncated_symbol	Looks like a truncated gene-family prefix; multiple HGNC-current genes are plausible.	AHI1?	manual_review_source
