alias	existing_or_reason	candidate_target	source
2F1	multiple_targets	KLRG1|SLC25A5	hgnc_alias_symbol
60B8AG	multiple_targets	S100A8|S100A9	hgnc_alias_symbol
87U6	multiple_targets	GNAI3|RNU6V	hgnc_alias_symbol
9G8	multiple_targets	SLU7|SRSF7	hgnc_alias_symbol
A1	multiple_targets	RFC1|RFC2|RFC4	hgnc_alias_symbol
A2	multiple_targets	CFAP410|GPHA2|SGCA	hgnc_alias_symbol
A20	multiple_targets	IGKV1-27|TNFAIP3	hgnc_alias_symbol
A3GALNT	multiple_targets	ABO|GBGT1	hgnc_alias_symbol
A4	multiple_targets	PLP2|SGCG	hgnc_alias_symbol
AAC1	NAT1	SLC25A4	hgnc_alias_symbol
AAVS1	current_symbol	PPP1R12C	hgnc_alias_symbol
ABC1	ABCA1	HEATR6	hgnc_alias_symbol
ABCE1P2	current_symbol	ABCE1P1	hgnc_alias_symbol
ABL	multiple_targets	DSP-AS1|MTTP	hgnc_alias_symbol
ABP	AOC1	SHBG	hgnc_alias_symbol
ABP-280	multiple_targets	FLNA|FLNC	hgnc_alias_symbol
ABP1	AOC1	DBNL	hgnc_alias_symbol
AC008392.1	multiple_targets	CARD8-AS1|ZNF114-AS1	hgnc_alias_symbol
AC073352.1	multiple_targets	ADPRH-AS1|TIMMDC1-DT	hgnc_alias_symbol
AC079630.2	multiple_targets	LINC02471|LINC02555	hgnc_alias_symbol
AC107464.2	multiple_targets	PCGF3-AS2|YAP1-DT	hgnc_alias_symbol
ACA59	multiple_targets	SNORA59A|SNORA59B	hgnc_alias_symbol
ACAT	ACAT1	SOAT1	hgnc_alias_symbol
ACAT1	current_symbol	SOAT1	hgnc_alias_symbol
ACAT2	current_symbol	SOAT2	hgnc_alias_symbol
ACBP	CPN2	DBI	hgnc_alias_symbol
ACC1	multiple_targets	ACACA|BCL2A1	hgnc_alias_symbol
ACC2	multiple_targets	ACACB|BCL2A1	hgnc_alias_symbol
ACCA	multiple_targets	ACACA|GPR3	hgnc_alias_symbol
ACKR5	current_symbol	CCRL2	hgnc_alias_symbol
ACP1	current_symbol	NDUFAB1	hgnc_alias_symbol
ACS	multiple_targets	ACCS|ACSS2	hgnc_alias_symbol
ACS2	multiple_targets	ACSL5|ACSL6	hgnc_alias_symbol
ACS3	TWIST1	ACSL3	hgnc_alias_symbol
ACSM2	multiple_targets	ACSM2A|ACSM2B	hgnc_prev_symbol
ACT	multiple_targets	ACOT7|FHL5|POTEM|SERPINA3	hgnc_alias_symbol
ACTBP2	current_symbol	ACTBP8	hgnc_alias_symbol
ACVRLK4	ACVR1B	TGFBR1	hgnc_alias_symbol
AD026	multiple_targets	ADORA3|TMIGD3	hgnc_alias_symbol
AD1	APP	CD63	hgnc_alias_symbol
AD3	PSEN1	TBC1D8	hgnc_alias_symbol
ADA1	multiple_targets	ADA|TADA1	hgnc_alias_symbol
ADA2	current_symbol	TADA2A	hgnc_alias_symbol
ADAM23	current_symbol	ADAM28	hgnc_alias_symbol
ADCY3	current_symbol	ADCY8	hgnc_prev_symbol
ADK	current_symbol	AK1	hgnc_alias_symbol
ADRA1A	current_symbol	ADRA1D	hgnc_alias_symbol
AE2	SLC4A2	NBPF3	hgnc_alias_symbol
AF-1	multiple_targets	IFNGR2|PSMD4	hgnc_alias_symbol
AG2	multiple_targets	AGR2|C11orf96	hgnc_alias_symbol
AGC1	ACAN	SLC25A12	hgnc_alias_symbol
AGPAT10	multiple_targets	GPAT3|LPCAT1	hgnc_alias_symbol
AGPAT9	GPAT3	LPCAT1	hgnc_alias_symbol
AGS1	TREX1	RASD1	hgnc_alias_symbol
AGS3	multiple_targets	GPSM1|RNASEH2C	hgnc_alias_symbol
AGS4	multiple_targets	GPSM3|RNASEH2A	hgnc_alias_symbol
AGT	current_symbol	AGXT	hgnc_alias_symbol
AIM-1	multiple_targets	AURKB|SLC45A2	hgnc_alias_symbol
AIP	current_symbol	AURKAIP1	hgnc_alias_symbol
AIP1	multiple_targets	ACTRT1|ARL6IP1|DAB2IP|MAGI2|PDCD6IP|WDR1	hgnc_alias_symbol
AK3	current_symbol	AK4	hgnc_prev_symbol
AK3L1	multiple_targets	AK3|AK4	hgnc_prev_symbol
AK6	current_symbol	AK3	hgnc_prev_symbol
AK6	current_symbol	AK3	hgnc_withdrawn
ALB	current_symbol	FBF1	hgnc_alias_symbol
ALC1	multiple_targets	CHD1L|MYL4	hgnc_alias_symbol
ALDH4	multiple_targets	ALDH4A1|ALDH9A1	hgnc_prev_symbol
ALDH7	multiple_targets	ALDH3B1|ALDH9A1	hgnc_prev_symbol
ALDRP	AKR1B1P2	ABCD2	hgnc_alias_symbol
ALIEN	multiple_targets	COPS2|LINC00261	hgnc_alias_symbol
ALK1	multiple_targets	ACVRL1|ALK|SLPI	hgnc_alias_symbol
ALP	multiple_targets	ASRGL1|ATRNL1|CCL27|PDLIM3|SLPI	hgnc_alias_symbol
ALP1	multiple_targets	ASRGL1|ASZ1	hgnc_alias_symbol
ALR	multiple_targets	AKR1A1|GFER|KMT2D	hgnc_alias_symbol
ALS	SOD1	IGFALS	hgnc_alias_symbol
ALX	multiple_targets	FPR2|HSH2D	hgnc_alias_symbol
AM	multiple_targets	ADM|ATF7IP	hgnc_alias_symbol
AMCD2B	TNNI2	TNNT3	hgnc_alias_symbol
AMN	current_symbol	ABCD1	hgnc_alias_symbol
AMY1	multiple_targets	AMY1A|AMY1B|AMY1C	hgnc_prev_symbol
AMY2	multiple_targets	AMY2A|AMY2B	hgnc_prev_symbol
AN	multiple_targets	CCDC102B|DIAPH3|PAX6	hgnc_alias_symbol
ANCR	current_symbol	DANCR|UBE3A	hgnc_alias_symbol
ANG3	multiple_targets	ANGPTL1|VPS51	hgnc_alias_symbol
ANK	ANK1	ANKH	hgnc_alias_symbol
ANKRD30BP3	current_symbol	ANKRD30BL	hgnc_prev_symbol
AOH1	multiple_targets	AOX1|AOX3P	hgnc_alias_symbol
AP-1	multiple_targets	FOS|FOSB|JUN|JUND	hgnc_alias_symbol
AP000695.2	multiple_targets	LNCTSI|PPP1R3B-DT	hgnc_alias_symbol
AP3Aase	multiple_targets	ENPP4|FHIT	hgnc_alias_symbol
AP47B	multiple_targets	AP3M2|AP4S1	hgnc_alias_symbol
APC1	multiple_targets	ANAPC1|SLC25A24	hgnc_alias_symbol
APC2	current_symbol	ANAPC2|SLC25A23	hgnc_alias_symbol
APC4	multiple_targets	ANAPC4|SLC25A41	hgnc_alias_symbol
APC7	multiple_targets	ANAPC7|SCARA3	hgnc_alias_symbol
APE	multiple_targets	APEX1|CCDC88A	hgnc_alias_symbol
