SNV/indel,CNV,STR,Mitochondria
AARS2,AARS2,ATN1,MT-ATP6
ABAT,ABAT,ATXN1,MT-ATP8
ABCA7,ABCA7,ATXN10,MT-CO1
ABCD1,ABCD1,ATXN2,MT-CO2
ACOX1,ACOX1,C9orf72,MT-CO3
ACP5,ACP5,HTT,MT-CR
ADAR,ADAR,JPH3,MT-CYB
ADGRG1,ADGRG1,NOP56,MT-ND1
ADK,ADK,NOTCH2NLC,MT-ND2
ADSL,ADSL,PRNP,MT-ND3
AGA,AGA,TBP,MT-ND4
AIFM1,AIFM1,,MT-ND4L
AIMP1,AIMP1,,MT-ND5
AIMP2,AIMP2,,MT-ND6
ALDH3A2,ALDH3A2,,MT-RNR1
ALDH5A1,ALDH5A1,,MT-RNR2
ALS2,ALS2,,MT-TA
ANG,ANG,,MT-TC
AP4B1,AP4B1,,MT-TD
AP4E1,AP4E1,,MT-TE
AP4M1,AP4M1,,MT-TF
AP4S1,AP4S1,,MT-TG
APOE,APOE,,MT-TH
APOPT1,APOPT1,,MT-TI
APP,APP,,MT-TK
ARSA,ARSA,,MT-TL1
ASPA,ASPA,,MT-TL2
ATN1,ATN1,,MT-TM
ATP7A,ATP7A,,MT-TN
ATP7B,ATP7B,,MT-TP
ATXN1,ATXN1,,MT-TQ
ATXN10,ATXN10,,MT-TR
ATXN2,ATXN2,,MT-TS1
AUH,AUH,,MT-TS2
B3GALNT2,B3GALNT2,,MT-TT
BCAP31,BCAP31,,MT-TV
BOLA3,BOLA3,,MT-TW
BPTF,BPTF,,MT-TY
C9orf72,C9orf72,,
CBS,CBS,,
CHCHD10,CHCHD10,,
CHMP2B,CHMP2B,,
CLCN2,CLCN2,,
CLDN11,CLDN11,,
CLN6,CLN6,,
CLPP,CLPP,,
CNP,CNP,,
CNTNAP1,CNTNAP1,,
COA7,COA7,,
COA8,COA8,,
COL4A1,COL4A1,,
COL4A2,COL4A2,,
COLGALT1,COLGALT1,,
COQ2,COQ2,,
COQ9,COQ9,,
COX10,COX10,,
COX15,COX15,,
COX6B1,COX6B1,,
CPS1,CPS1,,
CSF1R,CSF1R,,
CTC1,CTC1,,
CTSA,CTSA,,
CYP27A1,CYP27A1,,
CYP2U1,CYP2U1,,
CYP7B1,CYP7B1,,
D2HGDH,D2HGDH,,
DAG1,DAG1,,
DARS,DARS,,
DARS1,DARS1,,
DARS2,DARS2,,
DCAF17,DCAF17,,
DCTN1,DCTN1,,
DDHD2,DDHD2,,
DEGS1,DEGS1,,
DGUOK,DGUOK,,
DNAJC5,DNAJC5,,
