SNV/indel,CNV,STR,Mitochondria
ABCA1,ABCA1,CACNA1A,MT-CO1
ABCC1,ABCC1,PRNP,MT-CO2
ABCC6,ABCC6,XYLT1,MT-CO3
ABCC9,ABCC9,ZFHX3,MT-CR
ABCG5,ABCG5,,MT-CYB
ABCG8,ABCG8,,MT-ND1
ABHD2,ABHD2,,MT-ND2
ABO,ABO,,MT-ND3
ACAD9,ACAD9,,MT-ND4
ACP5,ACP5,,MT-ND5
ACTA2,ACTA2,,MT-ND6
ACTB,ACTB,,MT-RNR2
ACTC1,ACTC1,,MT-TE
ACTG1,ACTG1,,MT-TF
ACVRL1,ACVRL1,,MT-TH
ADA2,ADA2,,MT-TI
ADAMTS13,ADAMTS13,,MT-TK
ADAMTS2,ADAMTS2,,MT-TL1
ADAMTS7,ADAMTS7,,MT-TL2
ADCK3,ADCK3,,MT-TM
ADCY2,ADCY2,,MT-TQ
ADIPOQ,ADIPOQ,,MT-TS1
AEBP1,AEBP1,,MT-TS2
AGXT,AGXT,,MT-TT
AKT1,AKT1,,MT-TV
ALOX5AP,ALOX5AP,,MT-TW
ANGPTL4,ANGPTL4,,
ANGPTL6,ANGPTL6,,
ANK2,ANK2,,
ANKRD31,ANKRD31,,
ANKS1A,ANKS1A,,
APC,APC,,
APOA1,APOA1,,
APOA4,APOA4,,
APOA5,APOA5,,
APOB,APOB,,
APOC4,APOC4,,
APOE,APOE,,
APOL1,APOL1,,
APP,APP,,
ASS1,ASS1,,
ATP2B1,ATP2B1,,
ATP7A,ATP7A,,
ATP7B,ATP7B,,
B3GALT6,B3GALT6,,
B4GALT1,B4GALT1,,
BAP1,BAP1,,
BAZ1B,BAZ1B,,
BCAS3,BCAS3,,
BMPR1A,BMPR1A,,
BRAF,BRAF,,
BRCA1,BRCA1,,
BRCA2,BRCA2,,
BRCC3,BRCC3,,
C1R,C1R,,
C6orf26,C6orf26,,
CACNA1A,CACNA1A,,
CACNA1S,CACNA1S,,
CALR,CALR,,
CASZ1,CASZ1,,
CBS,CBS,,
CCM2,CCM2,,
CD46,CD46,,
CD59,CD59,,
CDK18,CDK18,,
CDK6,CDK6,,
CDKN2A,CDKN2A,,
CDKN2B,CDKN2B,,
CETP,CETP,,
