alias	hgnc_symbol	source
(P)RR	ATP6AP2	hgnc_alias_symbol
0808y08y	NFYC-AS1	hgnc_alias_symbol
1-8D	IFITM2	hgnc_alias_symbol
1-8U	IFITM3	hgnc_alias_symbol
1-Cys	PRDX6	hgnc_alias_symbol
1/2-SBSRNA4	SEC24B-AS1	hgnc_alias_symbol
10-fTHF	ALDH1L1	hgnc_alias_symbol
101F10.1	KNOP1	hgnc_alias_symbol
101F6	CYB561D2	hgnc_alias_symbol
103AS	KIR2DL4	hgnc_alias_symbol
10C	ARHGAP9	hgnc_alias_symbol
11B6	MAGED2	hgnc_alias_symbol
12-HETER	GPR31	hgnc_alias_symbol
12-Sep	SEPTIN12	custom_panel_review_curated
123F2	RASSF1	hgnc_alias_symbol
12CC4	FOXP1	hgnc_alias_symbol
12R-LOX	ALOX12B	hgnc_alias_symbol
12S	MT-RNR1	hgnc_alias_symbol
12S-LOX	ALOX12	hgnc_alias_symbol
133K02	FAM114A2	hgnc_alias_symbol
13CDNA73	FRY	hgnc_alias_symbol
14-3-3	YWHAQ	hgnc_alias_symbol
14-3-3-zeta	YWHAZ	hgnc_alias_symbol
14-3-3GAMMA	YWHAG	hgnc_alias_symbol
14-3-3γ	YWHAG	hgnc_alias_symbol
14.1	IGLL1	hgnc_alias_symbol
14q(0)	SNORD112	hgnc_alias_symbol
14q(I-1)	SNORD113-1	hgnc_alias_symbol
14q(I-2)	SNORD113-2	hgnc_alias_symbol
14q(I-3)	SNORD113-3	hgnc_alias_symbol
14q(I-4)	SNORD113-4	hgnc_alias_symbol
14q(I-5)	SNORD113-5	hgnc_alias_symbol
14q(I-6)	SNORD113-6	hgnc_alias_symbol
14q(I-7)	SNORD113-7	hgnc_alias_symbol
14q(I-8)	SNORD113-8	hgnc_alias_symbol
14q(I-9)	SNORD113-9	hgnc_alias_symbol
14q(II-1)	SNORD114-1	hgnc_alias_symbol
14q(II-10)	SNORD114-10	hgnc_alias_symbol
14q(II-11)	SNORD114-11	hgnc_alias_symbol
14q(II-12)	SNORD114-12	hgnc_alias_symbol
14q(II-13)	SNORD114-13	hgnc_alias_symbol
14q(II-14)	SNORD114-14	hgnc_alias_symbol
14q(II-15)	SNORD114-15	hgnc_alias_symbol
14q(II-16)	SNORD114-16	hgnc_alias_symbol
14q(II-17)	SNORD114-17	hgnc_alias_symbol
14q(II-18)	SNORD114-18	hgnc_alias_symbol
14q(II-19)	SNORD114-19	hgnc_alias_symbol
14q(II-2)	SNORD114-2	hgnc_alias_symbol
14q(II-20)	SNORD114-20	hgnc_alias_symbol
14q(II-21)	SNORD114-21	hgnc_alias_symbol
14q(II-22)	SNORD114-22	hgnc_alias_symbol
14q(II-23)	SNORD114-23	hgnc_alias_symbol
14q(II-24)	SNORD114-24	hgnc_alias_symbol
14q(II-25)	SNORD114-25	hgnc_alias_symbol
14q(II-26)	SNORD114-26	hgnc_alias_symbol
14q(II-27)	SNORD114-27	hgnc_alias_symbol
14q(II-28)	SNORD114-28	hgnc_alias_symbol
14q(II-29)	SNORD114-29	hgnc_alias_symbol
14q(II-3)	SNORD114-3	hgnc_alias_symbol
14q(II-30)	SNORD114-30	hgnc_alias_symbol
