SNV/indel,CNV,STR,Mitochondria
ABCD1,ABCD1,AR,MT-ATP6
ABCD4,ABCD4,ATXN1,MT-CO1
ABHD16A,ABHD16A,ATXN10,MT-CO3
ACP33,ACP33,ATXN2,MT-ND4
ADAR,ADAR,ATXN3,MT-ND6
ADAR1,ADAR1,ATXN7,MT-T1
AFG3L2,AFG3L2,ATXN8OS,MT-TE
AIFM1,AIFM1,C9orf72,MT-TI
ALDH18A1,ALDH18A1,CACNA1A,MT-TS1
ALDH3A2,ALDH3A2,FXN,
ALS2,ALS2,HTT,
AMFR,AMFR,LRP12,
AMPD2,AMPD2,NOTCH2NLC,
ANG,ANG,PPP2R2B,
ANXA11,ANXA11,TBP,
AP4B1,AP4B1,,
AP4E1,AP4E1,,
AP4M1,AP4M1,,
AP4S1,AP4S1,,
AP5Z1,AP5Z1,,
APTX,APTX,,
AR,AR,,
ARG1,ARG1,,
ARL6IP1,ARL6IP1,,
ARSA,ARSA,,
ARSI,ARSI,,
ASAH1,ASAH1,,
ASCC1,ASCC1,,
ATAD3A,ATAD3A,,
ATL1,ATL1,,
ATP13A2,ATP13A2,,
ATP2B4,ATP2B4,,
ATP7A,ATP7A,,
ATRX,ATRX,,
ATXN1,ATXN1,,
ATXN10,ATXN10,,
ATXN2,ATXN2,,
ATXN3,ATXN3,,
ATXN7,ATXN7,,
ATXN8OS,ATXN8OS,,
B4GALNT1,B4GALNT1,,
BICD2,BICD2,,
BSCL2,BSCL2,,
BTD,BTD,,
C19orf12,C19orf12,,
C9orf72,C9orf72,,
CABC1,CABC1,,
CACNA1A,CACNA1A,,
CACNA1D,CACNA1D,,
CAPN1,CAPN1,,
CCT5,CCT5,,
CFAP410,CFAP410,,
CHCHD10,CHCHD10,,
CHMP2B,CHMP2B,,
CHP1,CHP1,,
COQ2,COQ2,,
COQ4,COQ4,,
COQ9,COQ9,,
COX15,COX15,,
CPT1C,CPT1C,,
CYP27A1,CYP27A1,,
CYP2U1,CYP2U1,,
CYP7B1,CYP7B1,,
DARS,DARS,,
DARS2,DARS2,,
DCTN1,DCTN1,,
DDHD1,DDHD1,,
DDHD2,DDHD2,,
DNAJB2,DNAJB2,,
DNM1L,DNM1L,,
DNM2,DNM2,,
DSTYK,DSTYK,,
DYNC1H1,DYNC1H1,,
ECHS1,ECHS1,,
ENTPD1,ENTPD1,,
ERBB4,ERBB4,,
ERLIN1,ERLIN1,,
ERLIN2,ERLIN2,,
EXOSC3,EXOSC3,,
EXOSC8,EXOSC8,,
FA2H,FA2H,,
FAM134B,FAM134B,,
FARS2,FARS2,,
FBXO38,FBXO38,,
FICD,FICD,,
FIG4,FIG4,,
FOXRED1,FOXRED1,,
FTPS,FTPS,,
FUS,FUS,,
FXN,FXN,,
GAD1,GAD1,,
GALC,GALC,,
GAN,GAN,,
GARS1,GARS1,,
GBA,GBA,,
GBA2,GBA2,,
GBE1,GBE1,,
GCH1,GCH1,,
GFAP,GFAP,,
GJC2,GJC2,,
GLE1,GLE1,,
GM2A,GM2A,,
GPT2,GPT2,,
GRID2,GRID2,,
GRN,GRN,,
HACE1,HACE1,,
HEXA,HEXA,,
HEXB,HEXB,,
HNRNPA1,HNRNPA1,,
HNRNPA2B1,HNRNPA2B1,,
HPDL,HPDL,,
HSPB1,HSPB1,,
HSPB3,HSPB3,,
HSPB8,HSPB8,,
HSPD1,HSPD1,,
HTT,HTT,,
IBA57,IBA57,,
IFIH1,IFIH1,,
IGHMBP2,IGHMBP2,,
INTS8,INTS8,,
KCNIP1,KCNIP1,,
KCNK9,KCNK9,,
KDM5C,KDM5C,,
KIAA1840,KIAA1840,,
KIDINS220,KIDINS220,,
KIDINS220 ,KIDINS220 ,,
KIF1A,KIF1A,,
KIF1C,KIF1C,,
KIF5A,KIF5A,,
KLC2,KLC2,,
KLC4,KLC4,,
KPNA3,KPNA3,,
KY,KY,,
L1CAM,L1CAM,,
LAMB1,LAMB1,,
LIPT1,LIPT1,,
LMBRD1,LMBRD1,,
LMNA,LMNA,,
LMNB1,LMNB1,,
LRP10,LRP10,,
LRP12,LRP12,,
LYST,LYST,,
MAG,MAG,,
MAN2B1,MAN2B1,,
MAPT,MAPT,,
MARS1,MARS1,,
MARS2,MARS2,,
MATR3,MATR3,,
MMACHC,MMACHC,,
MMADHC,MMADHC,,
MORC2,MORC2,,
MTFMT,MTFMT,,
MTHFR,MTHFR,,
MTPAP,MTPAP,,
MTR,MTR,,
MTRFR/C12orf65,MTRFR/C12orf65,,
MTRR,MTRR,,
NDUFA10,NDUFA10,,
NDUFA12,NDUFA12,,
NDUFA13,NDUFA13,,
NDUFA2,NDUFA2,,
NDUFA4,NDUFA4,,
NDUFA9,NDUFA9,,
NDUFAF2,NDUFAF2,,
NDUFAF5,NDUFAF5,,
NDUFAF6,NDUFAF6,,
NDUFS1,NDUFS1,,
NDUFS2,NDUFS2,,
NDUFS3,NDUFS3,,
NDUFS4,NDUFS4,,
NDUFS7,NDUFS7,,
NDUFS8,NDUFS8,,
NDUFV1,NDUFV1,,
NDUFV2,NDUFV2,,
NEFH,NEFH,,
NEK1,NEK1,,
NFU1,NFU1,,
NIPA1,NIPA1,,
NIPAI,NIPAI,,
NKX6-2,NKX6-2,,
NOTCH2NLC,NOTCH2NLC,,
NT5C2,NT5C2,,
OPA1,OPA1,,
OPTN,OPTN,,
PAH,PAH,,
PAX3,PAX3,,
PCYT2,PCYT2,,
PDHA1,PDHA1,,
PDHX,PDHX,,
PDSS1,PDSS1,,
PDSS2,PDSS2,,
PET100,PET100,,
PEX3,PEX3,,
PFN1,PFN1,,
PGAP1,PGAP1,,
PI4KA,PI4KA,,
PLA2G6,PLA2G6,,
PLEKHG5,PLEKHG5,,
PLP1,PLP1,,
PMCA4,PMCA4,,
PMP22,PMP22,,
PNPLA6,PNPLA6,,
PON1,PON1,,
PPP2R2B,PPP2R2B,,
PRPH,PRPH,,
PSEN1,PSEN1,,
RAB3GAP,RAB3GAP,,
RAB3GAP2,RAB3GAP2,,
REEP1,REEP1,,
REEP2,REEP2,,
RNASEH2B,RNASEH2B,,
RNF170,RNF170,,
RTN2,RTN2,,
SACS,SACS,,
SCO2,SCO2,,
SDHA,SDHA,,
SELENOI,SELENOI,,
SETX,SETX,,
SIGMAR1,SIGMAR1,,
SLC16A2,SLC16A2,,
SLC19A3,SLC19A3,,
SLC1A4,SLC1A4,,
SLC25A15,SLC25A15,,
SLC2A1,SLC2A1,,
SLC33A1,SLC33A1,,
SLC52A3,SLC52A3,,
SMN1,SMN1,,
SMN2,SMN2,,
SOD1,SOD1,,
SPART,SPART,,
SPAST,SPAST,,
SPG11,SPG11,,
SPG21,SPG21,,
SPG7,SPG7,,
SPR,SPR,,
SPTAN1,SPTAN1,,
SPTLC1,SPTLC1,,
SPTSSA,SPTSSA,,
SQSTM1,SQSTM1,,
STXBP1,STXBP1,,
SURF1,SURF1,,
TACO1,TACO1,,
TAF15,TAF15,,
TARDBP,TARDBP,,
TBCE,TBCE,,
TBK1,TBK1,,
TBP,TBP,,
TECPR2,TECPR2,,
TFG,TFG,,
TH,TH,,
TIA1,TIA1,,
TK2,TK2,,
TMEM63C,TMEM63C,,
TOE1,TOE1,,
TREM2,TREM2,,
TRIP4,TRIP4,,
TRPM7,TRPM7,,
TRPV4,TRPV4,,
TTR,TTR,,
TUBA4A,TUBA4A,,
TUBB4A,TUBB4A,,
UBA1,UBA1,,
UBAP1,UBAP1,,
UBQLN2,UBQLN2,,
UCHL1,UCHL1,,
USP8,USP8,,
VAMP1,VAMP1,,
VAPB,VAPB,,
VCP,VCP,,
VPS37A,VPS37A,,
VRK1,VRK1,,
WASHC5,WASHC5,,
