SNV/indel,CNV,STR,Mitochondria
AAAS,AAAS,AFF2,MT-ATP6
AACS,AACS,AFF3,MT-ATP8
AARS1,AARS1,ARX,MT-CO1
AARS2,AARS2,ATN1,MT-CO2
AARSD1,AARSD1,ATXN10,MT-CO3
AASS,AASS,BEAN1,MT-CYB
AATK,AATK,C9orf72,MT-ND1
ABAT,ABAT,CACNA1A,MT-ND2
ABCA10,ABCA10,CBL,MT-ND3
ABCA2,ABCA2,CNBP,MT-ND4
ABCA5,ABCA5,CSTB,MT-ND5
ABCA6,ABCA6,DIP2B,MT-ND6
ABCA7,ABCA7,FMR1,MT-RNR2
ABCB1,ABCB1,GIPC1,MT-TC
ABCB11,ABCB11,GLS,MT-TD
ABCB9,ABCB9,HTT,MT-TE
ABCC12,ABCC12,LRP12,MT-TF
ABCC2,ABCC2,MARCHF6,MT-TH
ABCC4,ABCC4,NOTCH2NLC,MT-TI
ABCC6,ABCC6,PHOX2B,MT-TK
ABCC8,ABCC8,PRNP,MT-TL1
ABCD1,ABCD1,SAMD12,MT-TL2
ABCG8,ABCG8,STARD7,MT-TM
ABHD12,ABHD12,TAF1,MT-TN
ABHD16A,ABHD16A,TBP,MT-TP
ACAD9,ACAD9,TCF4,MT-TQ
ACADM,ACADM,THAP11,MT-TS1
ACADS,ACADS,ZFHX3,MT-TS2
ACADSB,ACADSB,,MT-TT
ACADVL,ACADVL,,MT-TV
ACAP3,ACAP3,,MT-TW
ACAT1,ACAT1,,
ACCS,ACCS,,
ACD,ACD,,
ACER2,ACER2,,
ACMSD,ACMSD,,
ACO2,ACO2,,
ACOT7,ACOT7,,
ACOX1,ACOX1,,
ACP4,ACP4,,
ACSF3,ACSF3,,
ACSM2A,ACSM2A,,
ACSM5,ACSM5,,
ACTA1,ACTA1,,
ACTA2,ACTA2,,
ACTB,ACTB,,
ACTC1,ACTC1,,
ACTG1,ACTG1,,
ACTL6B,ACTL6B,,
ACVR1,ACVR1,,
ACY1,ACY1,,
ACY3,ACY3,,
ADA,ADA,,
ADA2,ADA2,,
ADAM21,ADAM21,,
ADAM22,ADAM22,,
ADAMTS16,ADAMTS16,,
ADAMTS17,ADAMTS17,,
ADAMTS4,ADAMTS4,,
ADAMTSL2,ADAMTSL2,,
ADAR,ADAR,,
ADARB1,ADARB1,,
ADCY1,ADCY1,,
ADCY7,ADCY7,,
ADCYAP1R1,ADCYAP1R1,,
ADD3,ADD3,,
ADGRE2,ADGRE2,,
ADGRF4,ADGRF4,,
ADGRG1,ADGRG1,,
ADGRL1,ADGRL1,,
ADGRV1,ADGRV1,,
ADK,ADK,,
ADNP,ADNP,,
ADORA2A,ADORA2A,,
ADPRM,ADPRM,,
ADPRS,ADPRS,,
ADRA1B,ADRA1B,,
ADRA2B,ADRA2B,,
ADSL,ADSL,,
AFAP1L1,AFAP1L1,,
AFAP1L2,AFAP1L2,,
AFF2,AFF2,,
AFF3,AFF3,,
AFF4,AFF4,,
AFG3L2,AFG3L2,,
AGA,AGA,,
AGAP1,AGAP1,,
AGBL4,AGBL4,,
AGFG2,AGFG2,,
AGL,AGL,,
AGO1,AGO1,,
AGO2,AGO2,,
AGPS,AGPS,,
AGTR2,AGTR2,,
AHDC1,AHDC1,,
AHI1,AHI1,,
AIFM1,AIFM1,,
AIMP1,AIMP1,,
AIMP2,AIMP2,,
AIPL1,AIPL1,,
AKAP6,AKAP6,,
AKAP7,AKAP7,,
AKAP9,AKAP9,,
AKT2,AKT2,,
AKT3,AKT3,,
ALDH18A1,ALDH18A1,,
ALDH3A2,ALDH3A2,,
ALDH4A1,ALDH4A1,,
ALDH5A1,ALDH5A1,,
ALDH7A1,ALDH7A1,,
ALDOB,ALDOB,,
ALG1,ALG1,,
ALG10,ALG10,,
ALG10B,ALG10B,,
ALG11,ALG11,,
ALG12,ALG12,,
ALG13,ALG13,,
ALG14,ALG14,,
ALG2,ALG2,,
ALG3,ALG3,,
ALG6,ALG6,,
ALG8,ALG8,,
ALG9,ALG9,,
ALK,ALK,,
ALKBH2,ALKBH2,,
ALKBH8,ALKBH8,,
ALPG,ALPG,,
ALPL,ALPL,,
ALX4,ALX4,,
AMACR,AMACR,,
AMBRA1,AMBRA1,,
AMER1,AMER1,,
AMFR,AMFR,,
AMHR2,AMHR2,,
AMPD2,AMPD2,,
AMT,AMT,,
AMZ1,AMZ1,,
ANK1,ANK1,,
ANK2,ANK2,,
ANK3,ANK3,,
ANKH,ANKH,,
ANKLE2,ANKLE2,,
ANKRD11,ANKRD11,,
ANKRD16,ANKRD16,,
ANKRD17,ANKRD17,,
ANKRD30A,ANKRD30A,,
ANKRD33B,ANKRD33B,,
ANKRD36,ANKRD36,,
ANKRD54,ANKRD54,,
ANO10,ANO10,,
ANO3,ANO3,,
ANO7,ANO7,,
ANOS1,ANOS1,,
ANTXR1,ANTXR1,,
ANXA6,ANXA6,,
AOC1,AOC1,,
AP1B1,AP1B1,,
AP1G1,AP1G1,,
AP1S2,AP1S2,,
AP2M1,AP2M1,,
AP3B2,AP3B2,,
AP3D1,AP3D1,,
AP4B1,AP4B1,,
AP4E1,AP4E1,,
AP4M1,AP4M1,,
AP4S1,AP4S1,,
AP5B1,AP5B1,,
AP5Z1,AP5Z1,,
APBA2,APBA2,,
APBA3,APBA3,,
APC,APC,,
APC2,APC2,,
APOB,APOB,,
APOC2,APOC2,,
APOE,APOE,,
APOPT1,APOPT1,,
APP,APP,,
APRT,APRT,,
ARAP3,ARAP3,,
ARCN1,ARCN1,,
AREL1,AREL1,,
ARF1,ARF1,,
ARF3,ARF3,,
ARFGEF1,ARFGEF1,,
ARFGEF2,ARFGEF2,,
ARG1,ARG1,,
ARGLU1,ARGLU1,,
ARHGAP21,ARHGAP21,,
ARHGAP24,ARHGAP24,,
ARHGAP32,ARHGAP32,,
ARHGAP35,ARHGAP35,,
ARHGDIA,ARHGDIA,,
ARHGEF10,ARHGEF10,,
ARHGEF15,ARHGEF15,,
ARHGEF18,ARHGEF18,,
ARHGEF7,ARHGEF7,,
ARHGEF9,ARHGEF9,,
ARID1A,ARID1A,,
ARID1B,ARID1B,,
ARID2,ARID2,,
ARL13B,ARL13B,,
ARL6IP1,ARL6IP1,,
ARMC9,ARMC9,,
ARNT2,ARNT2,,
ARNTL2,ARNTL2,,
ARRB2,ARRB2,,
ARSA,ARSA,,
ARSB,ARSB,,
ARSH,ARSH,,
ARV1,ARV1,,
ARX,ARX,,
ASAH1,ASAH1,,
ASB11,ASB11,,
ASGR2,ASGR2,,
