SNV/indel,CNV,STR,Mitochondria
AARS2,AARS2,NOTCH2NLC,MT-ATP6
ABAT,ABAT,,MT-ATP8
ABCD1,ABCD1,,MT-CO1
ACOX1,ACOX1,,MT-CO2
ACP5,ACP5,,MT-CO3
ADAR,ADAR,,MT-CYB
ADGRG1,ADGRG1,,MT-ND1
ADK,ADK,,MT-ND2
ADSL,ADSL,,MT-ND3
AGA,AGA,,MT-ND4
AIFM1,AIFM1,,MT-ND4L
AIMP1,AIMP1,,MT-ND5
AIMP2,AIMP2,,MT-ND6
ALDH3A2,ALDH3A2,,MT-RNR1
ALDH5A1,ALDH5A1,,MT-RNR2
AP4B1,AP4B1,,MT-TA
AP4E1,AP4E1,,MT-TC
AP4M1,AP4M1,,MT-TD
AP4S1,AP4S1,,MT-TE
APOPT1,APOPT1,,MT-TF
ARSA,ARSA,,MT-TG
ASPA,ASPA,,MT-TH
ATP7A,ATP7A,,MT-TI
ATP7B,ATP7B,,MT-TK
AUH,AUH,,MT-TL1
B3GALNT2,B3GALNT2,,MT-TL2
BCAP31,BCAP31,,MT-TM
BOLA3,BOLA3,,MT-TN
BPTF,BPTF,,MT-TP
CBS,CBS,,MT-TQ
CLCN2,CLCN2,,MT-TR
CLDN11,CLDN11,,MT-TS1
CLN6,CLN6,,MT-TS2
CLPP,CLPP,,MT-TT
CNP,CNP,,MT-TV
CNTNAP1,CNTNAP1,,MT-TW
COA7,COA7,,MT-TY
COA8,COA8,,
COL4A1,COL4A1,,
COL4A2,COL4A2,,
COLGALT1,COLGALT1,,
COQ2,COQ2,,
COQ9,COQ9,,
COX10,COX10,,
COX15,COX15,,
COX6B1,COX6B1,,
CPS1,CPS1,,
CSF1R,CSF1R,,
CTC1,CTC1,,
CTSA,CTSA,,
CYP27A1,CYP27A1,,
CYP2U1,CYP2U1,,
CYP7B1,CYP7B1,,
D2HGDH,D2HGDH,,
DAG1,DAG1,,
DARS,DARS,,
DARS1,DARS1,,
DARS2,DARS2,,
DCAF17,DCAF17,,
DDHD2,DDHD2,,
DEGS1,DEGS1,,
DGUOK,DGUOK,,
DNM1L,DNM1L,,
EARS2,EARS2,,
EIF2B1,EIF2B1,,
EIF2B2,EIF2B2,,
EIF2B3,EIF2B3,,
EIF2B4,EIF2B4,,
EIF2B5,EIF2B5,,
EPRS,EPRS,,
EPRS1,EPRS1,,
ERCC6,ERCC6,,
ERCC8,ERCC8,,
ETFA,ETFA,,
ETFB,ETFB,,
ETFDH,ETFDH,,
