SNV/indel,CNV,STR,Mitochondria
AARS1,AARS1,ABCD3,MT-ATP6
ABCC9,ABCC9,AR,MT-ATP8
ABCD3,ABCD3,ATXN2,MT-ATP8/6
ABHD5,ABHD5,C9orf72,MT-CO1
ACACA,ACACA,CACNA1A,MT-CO2
ACAD9,ACAD9,CNBP,MT-CO3
ACADL,ACADL,COMP,MT-CR
ACADM,ACADM,DMPK,MT-CYB
ACADS,ACADS,FXN,MT-ND1
ACADVL,ACADVL,GIPC1,MT-ND2
ACTA1,ACTA1,LRP12,MT-ND3
ACTC1,ACTC1,NOTCH2NLC,MT-ND4
ACTN2,ACTN2,NUTM2B-AS1,MT-ND4L
ACVR1,ACVR1,PABPN1,MT-ND5
ADAMTS15,ADAMTS15,PLIN4,MT-ND6
ADGRG6,ADGRG6,PRDM12,MT-RNR1
ADSS1,ADSS1,RFC1,MT-RNR2
AGK,AGK,RILPL1,MT-TA
AGL,AGL,VWA1,MT-TC
AGRN,AGRN,ZIC2,MT-TD
AHNAK2,AHNAK2,,MT-TE
AIFM1,AIFM1,,MT-TF
AKT1,AKT1,,MT-TG
ALDOA,ALDOA,,MT-TH
ALG14,ALG14,,MT-TI
ALG2,ALG2,,MT-TK
ALPL,ALPL,,MT-TL1
ALS2,ALS2,,MT-TL2
ANG,ANG,,MT-TM
ANO5,ANO5,,MT-TN
ANXA11,ANXA11,,MT-TP
AP1S2,AP1S2,,MT-TQ
APOO,APOO,,MT-TR
AR,AR,,MT-TS1
ARHGAP19,ARHGAP19,,MT-TS1 precursor
ARHGEF10,ARHGEF10,,MT-TS2
ASAH1,ASAH1,,MT-TT
ASCC1,ASCC1,,MT-TV
ASCC3,ASCC3,,MT-TW
ATL1,ATL1,,MT-TY
ATL3,ATL3,,
ATP1A1,ATP1A1,,
ATP1A2,ATP1A2,,
ATP2A1,ATP2A1,,
ATP2A2,ATP2A2,,
ATP7A,ATP7A,,
ATXN2,ATXN2,,
B3GALNT2,B3GALNT2,,
B4GALNT1,B4GALNT1,,
B4GALT1,B4GALT1,,
B4GAT1,B4GAT1,,
BAG3,BAG3,,
BICD2,BICD2,,
BIN1,BIN1,,
BSCL2,BSCL2,,
BVES,BVES,,
C1QBP,C1QBP,,
C9orf72,C9orf72,,
CACNA1A,CACNA1A,,
CACNA1H,CACNA1H,,
CACNA1S,CACNA1S,,
CADM3,CADM3,,
CAPN1,CAPN1,,
CAPN3,CAPN3,,
CASQ1,CASQ1,,
CAV3,CAV3,,
CAVIN1,CAVIN1,,
CCDC174,CCDC174,,
CCDC78,CCDC78,,
CCT5,CCT5,,
CDH23,CDH23,,
CDON,CDON,,
CENPF,CENPF,,
CFAP276,CFAP276,,
CFL2,CFL2,,
CHAT,CHAT,,
CHCHD10,CHCHD10,,
CHD8,CHD8,,
CHKB,CHKB,,
CHMP2B,CHMP2B,,
CHRNA1,CHRNA1,,
CHRNB1,CHRNB1,,
CHRND,CHRND,,
CHRNE,CHRNE,,
CHRNG,CHRNG,,
CHST14,CHST14,,
CIAO1,CIAO1,,
CISD2,CISD2,,
CLCN1,CLCN1,,
CLN3,CLN3,,
CLTCL1,CLTCL1,,
CNBP,CNBP,,
CNTN1,CNTN1,,
CNTNAP1,CNTNAP1,,
COL12A1,COL12A1,,
COL13A1,COL13A1,,
COL25A1,COL25A1,,
COL6A1,COL6A1,,
COL6A2,COL6A2,,
COL6A3,COL6A3,,
COL9A1,COL9A1,,
COL9A2,COL9A2,,
COL9A3,COL9A3,,
COLQ,COLQ,,
COMP,COMP,,
COQ2,COQ2,,
COQ4,COQ4,,
COQ6,COQ6,,
COQ7,COQ7,,
COQ8A,COQ8A,,
COQ9,COQ9,,
COX10,COX10,,
COX15,COX15,,
COX16,COX16,,
COX18,COX18,,
COX6A1,COX6A1,,
COX6A2,COX6A2,,
CPT2,CPT2,,
CRPPA,CRPPA,,
CRYAB,CRYAB,,
CSRP3,CSRP3,,
CTDP1,CTDP1,,
CTNS,CTNS,,
DAG1,DAG1,,
DARS2,DARS2,,
DCAF8,DCAF8,,
DCTN1,DCTN1,,
DES,DES,,
DGAT2,DGAT2,,
DGUOK,DGUOK,,
DHTKD1,DHTKD1,,
DHX16,DHX16,,
DHX9,DHX9,,
DLL1,DLL1,,
DMD,DMD,,
DMPK,DMPK,,
DNA2,DNA2,,
DNAJB2,DNAJB2,,
DNAJB4,DNAJB4,,
DNAJB6,DNAJB6,,
DNM1L,DNM1L,,
DNM2,DNM2,,
DNMT1,DNMT1,,
DOK7,DOK7,,
DOLK,DOLK,,
DPAGT1,DPAGT1,,
DPM1,DPM1,,
DPM2,DPM2,,
DPM3,DPM3,,
DSE,DSE,,
DSG2,DSG2,,
DST,DST,,
DUX4,DUX4,,
DYNC1H1,DYNC1H1,,
DYSF,DYSF,,
ECEL1,ECEL1,,
EGR2,EGR2,,
ELN,ELN,,
ELP1,ELP1,,
EMD,EMD,,
EMILIN1,EMILIN1,,
ENDOG,ENDOG,,
ENO3,ENO3,,
EPG5,EPG5,,
ERBB4,ERBB4,,
ERGIC1,ERGIC1,,
ETFA,ETFA,,
ETFB,ETFB,,
ETFDH,ETFDH,,
EXOSC3,EXOSC3,,
EXOSC8,EXOSC8,,
EXOSC9,EXOSC9,,
FAM111B,FAM111B,,
FASTKD2,FASTKD2,,
FBLN5,FBLN5,,
FBXL4,FBXL4,,
FBXO38,FBXO38,,
FDX2,FDX2,,
FGD4,FGD4,,
FGF8,FGF8,,
FGFR1,FGFR1,,
FHL1,FHL1,,
FIG4,FIG4,,
FILIP1,FILIP1,,
FKBP14,FKBP14,,
FKRP,FKRP,,
FKTN,FKTN,,
FLAD1,FLAD1,,
FLNC,FLNC,,
FLVCR1,FLVCR1,,
FOXK2,FOXK2,,
FUS,FUS,,
FXN,FXN,,
FXR1,FXR1,,
G6PC,G6PC,,
GAA,GAA,,
GABRD,GABRD,,
GAN1,GAN1,,
GARS1,GARS1,,
GATAD1,GATAD1,,
GBE1,GBE1,,
GBF1,GBF1,,
GCLC,GCLC,,
GDAP1,GDAP1,,
GFER,GFER,,
GFPT1,GFPT1,,
GGPS1,GGPS1,,
GIPC1,GIPC1,,
GJB1,GJB1,,
GJB3,GJB3,,
GK,GK,,
GLI2,GLI2,,
GMPPB,GMPPB,,
GNB4,GNB4,,
GNE,GNE,,
GOLGA2,GOLGA2,,
GOSR2,GOSR2,,
GYG1,GYG1,,
GYS1,GYS1,,
HACD1,HACD1,,
HADHA,HADHA,,
HADHB,HADHB,,
HARS,HARS,,
HEXB,HEXB,,
HINT1,HINT1,,
HK1,HK1,,
HMGCR,HMGCR,,
HMGCS1,HMGCS1,,
HNRNPA1,HNRNPA1,,
HNRNPA2B1,HNRNPA2B1,,
HNRNPDL,HNRNPDL,,
HOXD10,HOXD10,,
HRAS,HRAS,,
