SNV/indel,CNV,STR,Mitochondria
A2M,A2M,ARX,MT-ATP6
AARS1,AARS1,ATN1,MT-ATP8
AARS2,AARS2,ATXN1,MT-ATP8/6
ABCA2,ABCA2,ATXN10,MT-CO1
ABCA7,ABCA7,ATXN2,MT-CO2
ABCB7,ABCB7,ATXN3,MT-CO3
ABCD1,ABCD1,ATXN7,MT-CYB
ABHD12,ABHD12,ATXN8,MT-ND1
ACADS,ACADS,ATXN8OS,MT-ND2
ACER3,ACER3,BEAN1,MT-ND3
ACO2,ACO2,C9ORF72,MT-ND4
ACOX1,ACOX1,CACNA1A,MT-ND4L
ACSF3,ACSF3,CSTB,MT-ND5
ACTA1,ACTA1,DAB1,MT-ND6
ACTB,ACTB,FGF14,MT-RNR1
ADAR,ADAR,FMR1,MT-RNR2
ADCY5,ADCY5,FXN,MT-TA
ADH1C,ADH1C,GLS,MT-TC
ADPRHL2,ADPRHL2,HTT,MT-TD
AFG3L2,AFG3L2,JPH3,MT-TE
AGTPBP1,AGTPBP1,MARCHF6,MT-TF
AHI1,AHI1,NOP56,MT-TG
AIMP1,AIMP1,NOTCH2NLC,MT-TH
ALDH18A1,ALDH18A1,PPP2R2B,MT-TI
ALDH5A1,ALDH5A1,PRNP,MT-TK
ALDH6A1,ALDH6A1,RAI1,MT-TL1
ALKBH8,ALKBH8,RAPGEF2,MT-TL2
ALS2,ALS2,RFC1,MT-TM
AMT,AMT,SAMD12,MT-TN
ANO10,ANO10,STARD7,MT-TP
ANO3,ANO3,TAF1,MT-TQ
AOPEP,AOPEP,TBP,MT-TR
AP3D1,AP3D1,TCF4,MT-TS1
AP4B1,AP4B1,THAP11,MT-TS2
AP4E1,AP4E1,TNRC6A,MT-TT
AP4M1,AP4M1,YEATS2,MT-TV
AP4S1,AP4S1,ZFHX3,MT-TW
AP5Z1,AP5Z1,ZIC2,MT-TY
APOE,APOE,,
APP,APP,,
APTX,APTX,,
ARL13B,ARL13B,,
ARL6,ARL6,,
ARSA,ARSA,,
ARSB,ARSB,,
ARV1,ARV1,,
ARX,ARX,,
ASAH1,ASAH1,,
ASH1L,ASH1L,,
ATCAY,ATCAY,,
ATM,ATM,,
ATN1,ATN1,,
ATP13A2,ATP13A2,,
ATP1A2,ATP1A2,,
ATP1A3,ATP1A3,,
ATP2B2,ATP2B2,,
ATP2B3,ATP2B3,,
ATP6AP2,ATP6AP2,,
ATP7B,ATP7B,,
ATP8A2,ATP8A2,,
ATXN1,ATXN1,,
ATXN10,ATXN10,,
ATXN2,ATXN2,,
ATXN3,ATXN3,,
ATXN7,ATXN7,,
ATXN8,ATXN8,,
ATXN8OS,ATXN8OS,,
AUH,AUH,,
B3GALNT2,B3GALNT2,,
B3GALT6,B3GALT6,,
B4GALNT1,B4GALNT1,,
BBS1,BBS1,,
BBS10,BBS10,,
BBS12,BBS12,,
BBS2,BBS2,,
BBS4,BBS4,,
BBS5,BBS5,,
BBS7,BBS7,,
BBS9,BBS9,,
BCAP31,BCAP31,,
BEAN1,BEAN1,,
BRAT1,BRAT1,,
BSCL2,BSCL2,,
C12ORF4,C12ORF4,,
C19ORF12,C19ORF12,,
C9ORF72,C9ORF72,,
CA8,CA8,,
CACNA1A,CACNA1A,,
CACNA1B,CACNA1B,,
CACNA1E,CACNA1E,,
CACNA1G,CACNA1G,,
CACNA2D2,CACNA2D2,,
CACNB4,CACNB4,,
CACNG2,CACNG2,,
CAMK2A,CAMK2A,,
CAMK2B,CAMK2B,,
CAMTA1,CAMTA1,,
CAPN1,CAPN1,,
CARS1,CARS1,,
CARS2,CARS2,,
CASK,CASK,,
CASR,CASR,,
CAT,CAT,,
CC2D1A,CC2D1A,,
CC2D2A,CC2D2A,,
CCDC88C,CCDC88C,,
CDH15,CDH15,,
CDK10,CDK10,,
CDKL5,CDKL5,,
CDON,CDON,,
CEP290,CEP290,,
CEP41,CEP41,,
CEP85L,CEP85L,,
CERS1,CERS1,,
CHAMP1,CHAMP1,,
CHCHD10,CHCHD10,,
CHCHD2,CHCHD2,,
CHD2,CHD2,,
CHMP2B,CHMP2B,,
CHN1,CHN1,,
CHRNA2,CHRNA2,,
CIC,CIC,,
CIZ1,CIZ1,,
CKAP2L,CKAP2L,,
CLCN2,CLCN2,,
CLN3,CLN3,,
CLN5,CLN5,,
CLN6,CLN6,,
CLN8,CLN8,,
CLPB,CLPB,,
CLPP,CLPP,,
CLTC,CLTC,,
CNP,CNP,,
CNTNAP1,CNTNAP1,,
COA7,COA7,,
COASY,COASY,,
COL12A1,COL12A1,,
COL4A1,COL4A1,,
COL6A1,COL6A1,,
COL6A2,COL6A2,,
COL6A3,COL6A3,,
COLEC11,COLEC11,,
COQ2,COQ2,,
COQ4,COQ4,,
COQ8A,COQ8A,,
COQ9,COQ9,,
COX15,COX15,,
COX20,COX20,,
CP,CP,,
CPLANE1,CPLANE1,,
CPLX1,CPLX1,,
CRADD,CRADD,,
CRBN,CRBN,,
CSF1R,CSF1R,,
CSNK2B,CSNK2B,,
CSTB,CSTB,,
CTBP1,CTBP1,,
CTC1,CTC1,,
CTDP1,CTDP1,,
CTSA,CTSA,,
CTSD,CTSD,,
CTSF,CTSF,,
CUX1,CUX1,,
CUX2,CUX2,,
CWF19L1,CWF19L1,,
CYB5A,CYB5A,,
CYB5R3,CYB5R3,,
CYP27A1,CYP27A1,,
CYP2U1,CYP2U1,,
CYP7B1,CYP7B1,,
DAB1,DAB1,,
DALRD3,DALRD3,,
DCAF17,DCAF17,,
DCPS,DCPS,,
DCTN1,DCTN1,,
DDC,DDC,,
DEAF1,DEAF1,,
DEGS1,DEGS1,,
DHDDS,DHDDS,,
DHPS,DHPS,,
DHX30,DHX30,,
DLAT,DLAT,,
DLD,DLD,,
DLL1,DLL1,,
DMXL2,DMXL2,,
DNAJC12,DNAJC12,,
DNAJC13,DNAJC13,,
DNAJC19,DNAJC19,,
DNAJC5,DNAJC5,,
DNAJC6,DNAJC6,,
DNM1L,DNM1L,,
DNMT1,DNMT1,,
DOCK3,DOCK3,,
DOCK8,DOCK8,,
DRD5,DRD5,,
DYNC1H1,DYNC1H1,,
EARS2,EARS2,,
EBF3,EBF3,,
ECHS1,ECHS1,,
ECM1,ECM1,,
EDC3,EDC3,,
EEF1A2,EEF1A2,,
EEF2,EEF2,,
EIF2AK2,EIF2AK2,,
EIF4A2,EIF4A2,,
EIF4G1,EIF4G1,,
ELOVL4,ELOVL4,,
ELOVL5,ELOVL5,,
EMC1,EMC1,,
EPB41L1,EPB41L1,,
EPM2A,EPM2A,,
EPRS1,EPRS1,,
FA2H,FA2H,,
FARS2,FARS2,,
FAT2,FAT2,,
FBLN1,FBLN1,,
FBXL4,FBXL4,,
FBXO31,FBXO31,,
FBXO7,FBXO7,,
FDXR,FDXR,,
FGF14,FGF14,,
FGF20,FGF20,,
FGF8,FGF8,,
FGFR1,FGFR1,,
FGFR2,FGFR2,,
FGFR3,FGFR3,,
FITM2,FITM2,,
FLI1,FLI1,,
FLVCR1,FLVCR1,,
FMN2,FMN2,,
FMR1,FMR1,,
FOLR1,FOLR1,,
FOXG1,FOXG1,,
FOXRED1,FOXRED1,,
