SNV/indel,CNV,STR,Mitochondria
AARS2,AARS2,,MT-ATP6
AASS,AASS,,MT-ATP8
ABAT,ABAT,,MT-CO1
ABCA1,ABCA1,,MT-CO2
ABCB11,ABCB11,,MT-CO3
ABCB4,ABCB4,,MT-CYB
ABCB7,ABCB7,,MT-ND1
ABCD1,ABCD1,,MT-ND2
ABCD4,ABCD4,,MT-ND3
ABCG5,ABCG5,,MT-ND4
ABCG8,ABCG8,,MT-ND4L
ABHD12,ABHD12,,MT-ND5
ABHD5,ABHD5,,MT-ND6
ACACA,ACACA,,MT-RNR1
ACAD8,ACAD8,,MT-TA
ACAD9,ACAD9,,MT-TC
ACADM,ACADM,,MT-TD
ACADS,ACADS,,MT-TE
ACADSB,ACADSB,,MT-TF
ACADVL,ACADVL,,MT-TG
ACAT1,ACAT1,,MT-TH
ACO2,ACO2,,MT-TI
ACOX1,ACOX1,,MT-TK
ACOX2,ACOX2,,MT-TL1
ACSF3,ACSF3,,MT-TL2
ACTL6B,ACTL6B,,MT-TM
ACY1,ACY1,,MT-TN
ADA,ADA,,MT-TP
ADAR,ADAR,,MT-TQ
ADARB1,ADARB1,,MT-TR
ADGRG1,ADGRG1,,MT-TS1
ADPRHL2,ADPRHL2,,MT-TS2
ADSL,ADSL,,MT-TT
AFF3,AFF3,,MT-TV
AFG3L2,AFG3L2,,MT-TW
AGA,AGA,,MT-TY
AGK,AGK,,
AGL,AGL,,
AGO1,AGO1,,
AGPS,AGPS,,
AGXT,AGXT,,
AHCY,AHCY,,
AIFM1,AIFM1,,
AIMP1,AIMP1,,
AKR1D1,AKR1D1,,
AKT3,AKT3,,
ALAD,ALAD,,
ALAS2,ALAS2,,
ALDH18A1,ALDH18A1,,
ALDH3A2,ALDH3A2,,
ALDH4A1,ALDH4A1,,
ALDH5A1,ALDH5A1,,
ALDH6A1,ALDH6A1,,
ALDH7A1,ALDH7A1,,
ALDOA,ALDOA,,
ALDOB,ALDOB,,
ALG1,ALG1,,
ALG11,ALG11,,
ALG12,ALG12,,
ALG13,ALG13,,
ALG14,ALG14,,
ALG3,ALG3,,
ALG6,ALG6,,
ALG8,ALG8,,
ALG9,ALG9,,
ALKBH8,ALKBH8,,
ALPL,ALPL,,
AMACR,AMACR,,
AMN,AMN,,
AMPD2,AMPD2,,
AMT,AMT,,
ANK2,ANK2,,
ANKRD11,ANKRD11,,
ANO10,ANO10,,
ANO4,ANO4,,
AP1G1,AP1G1,,
AP2M1,AP2M1,,
AP3B2,AP3B2,,
APC2,APC2,,
APOA1,APOA1,,
APOA5,APOA5,,
APOB,APOB,,
APOC2,APOC2,,
APOE,APOE,,
APOPT1,APOPT1,,
APRT,APRT,,
APTX,APTX,,
ARF1,ARF1,,
ARF3,ARF3,,
ARFGEF1,ARFGEF1,,
ARFGEF2,ARFGEF2,,
ARG1,ARG1,,
ARHGEF9,ARHGEF9,,
ARID1B,ARID1B,,
ARSA,ARSA,,
ARSB,ARSB,,
ARSE,ARSE,,
ARSG,ARSG,,
ARSK,ARSK,,
ARV1,ARV1,,
ARX,ARX,,
ASAH1,ASAH1,,
ASH1L,ASH1L,,
ASL,ASL,,
ASNS,ASNS,,
ASPA,ASPA,,
ASS1,ASS1,,
