SNV/indel,CNV,STR,Mitochondria
A2ML1,A2ML1,,
AAAS,AAAS,,
ABCA1,ABCA1,,
ABCC8,ABCC8,,
ACADVL,ACADVL,,
ACAN,ACAN,,
ACP5,ACP5,,
ACTB,ACTB,,
ACTG1,ACTG1,,
ADAMTS10,ADAMTS10,,
ADAMTS17,ADAMTS17,,
ADIPOQ,ADIPOQ,,
AGL,AGL,,
AGRP,AGRP,,
AIP,AIP,,
AKT1,AKT1,,
AKT2,AKT2,,
ALMS1,ALMS1,,
ALPL,ALPL,,
ANKRD11,ANKRD11,,
ANOS1,ANOS1,,
APC,APC,,
APOB,APOB,,
APOC2,APOC2,,
APOC3,APOC3,,
APPL1,APPL1,,
AQP2,AQP2,,
AR,AR,,
ARX,ARX,,
ATM,ATM,,
ATP1A1,ATP1A1,,
ATR,ATR,,
ATRIP,ATRIP,,
ATRX,ATRX,,
AVPR2,AVPR2,,
BCL2,BCL2,,
BLM,BLM,,
BMP1,BMP1,,
BMP15,BMP15,,
BMP2,BMP2,,
BMP4,BMP4,,
BMP8B,BMP8B,,
BMPR1B,BMPR1B,,
BRAF,BRAF,,
BRCA2,BRCA2,,
BRIP1,BRIP1,,
BSCL2,BSCL2,,
BTK,BTK,,
C16ORF55,C16ORF55,,
CASR,CASR,,
CBL,CBL,,
CBS,CBS,,
CBX2,CBX2,,
CCDC8,CCDC8,,
CCNK,CCNK,,
CDC42,CDC42,,
CDC6,CDC6,,
CDC73,CDC73,,
CDKN1A,CDKN1A,,
CDKN1C,CDKN1C,,
CDKN2B,CDKN2B,,
CDON,CDON,,
CDT1,CDT1,,
CENPJ,CENPJ,,
CEP152,CEP152,,
CEP19,CEP19,,
CEP63,CEP63,,
CHD7,CHD7,,
CHD8,CHD8,,
CITED2,CITED2,,
CLCN7,CLCN7,,
COL1A1,COL1A1,,
COL1A2,COL1A2,,
COL2A1,COL2A1,,
COL9A2,COL9A2,,
COL9A3,COL9A3,,
COMP,COMP,,
CP,CP,,
CRIPT,CRIPT,,
