alias	hgnc_symbol	source
ACP33	SPG21	summary_D
ADAR1	ADAR	summary_D
ADCK3	COQ8A	summary_D
ADPRHL2	ADPRS	summary_D
APOPT1	COA8	summary_D
ARMC4	ODAD2	summary_D
ARSE	ARSL	summary_D
ATP5A1	ATP5F1A	summary_D
ATP5B	ATP5F1B	summary_D
ATP5D	ATP5F1D	summary_D
ATP5E	ATP5F1E	summary_D
ATP5G3	ATP5MC3	summary_D
ATP5O	ATP5PO	summary_D
BVES	POPDC1	summary_D
C12ORF4	FERRY3	summary_D
C12ORF65	MTRFR	summary_D
C12ORF66	KICS2	summary_D
C19ORF70	MICOS13	summary_D
C3ORF20	FAM194C	summary_D
C8ORF37	CFAP418	summary_D
CABC1	COQ8A	summary_D
CCDC115	VMA22	summary_D
CENPJ	CPAP	summary_D
CLUAP1	IFT38	summary_D
COL4A3BP	CERT1	summary_D
CTX	CYP27A1	summary_D
CYTB	MT-CYB	summary_D
DARS	DARS1	summary_D
DDX58	RIGI	summary_D
DGS	TBX1	summary_A2
DMN1	DNM1	summary_A
EFCAB1	CLXN	summary_D
EIF2B1-5	EIF2B1	summary_A
EPRS	EPRS1	summary_D
FAM126A	HYCC1	summary_D
FAM134B	RETREG1	summary_D
FAM65B	RIPOR2	summary_D
FAM83G	SACK1G	summary_D
FDX1L	FDX2	summary_D
FIT2	FITM2	summary_D
FTPS	PTS	summary_A
FUK	FCSK	summary_D
G6PC	G6PC1	summary_D
GAN1	GAN	summary_D
GARS	GARS1	summary_D
GBA	GBA1	summary_D
GIF	CBLIF	summary_D
GNAS1	GNAS	summary_D
GUCY1A3	GUCY1A1	summary_D
H3F3A	H3-3A	summary_D
H3F3B	H3-3B	summary_D
HADHSC	HADH	summary_D
HARS	HARS1	summary_D
HFE2	HJV	summary_D
HMAG2	HMGA2	summary_A
HNRPH1	HNRNPH1	summary_D
HNRPR	HNRNPR	summary_D
HOXD	HOXD13	summary_A2
ICK	CILK1	summary_D
ISPD	CRPPA	summary_D
KARS	KARS1	summary_D
KIAA0391	PRORP	summary_D
KIAA1109	BLTP1	summary_D
KIAA1840	SPG11	summary_D
KIF1BP	KIFBP	summary_D
KIND3	FERMT3	summary_D
LARGE	LARGE1	summary_D
LARS	LARS1	summary_D
LMNB	LMNB1	summary_A
LOC100505841	ZNF475	summary_A
MRE11A	MRE11	summary_D
MT-T1	MT-TI	summary_A
MUT	MMUT	summary_D
MYLPF	MYL11	summary_D
NARS	NARS1	summary_D
NAT8L	ASPNAT	summary_D
ND1	MT-ND1	summary_A
ND4	MT-ND4	summary_D
ND5	MT-ND5	summary_D
ND6	MT-ND6	summary_D
NDUFA4	COXFA4	summary_D
NIPAI	NIPA1	summary_A
OBFC1	STN1	summary_D
PHB	PHB1	summary_D
PI3KCA	PIK3CA	summary_A
PMCA4	ATP2B4	summary_D
PROC4	PROC	summary_A
QARS	EPRS1	summary_D
RAB3GAP	RAB3GAP1	summary_D
RAB7	RAB7A	summary_D
RARS	RARS1	summary_D
RECQL2	WRN	summary_D
RECQL3	BLM	summary_D
RNU2-2P	RNU2-2	summary_D
SARS	SARS1	summary_D
SCA2	ATXN2	summary_D
SCL35A2	SLC35A2	summary_A
SCN8	SRP54	summary_A
SKIV2L	SKIC2	summary_D
SLC9A3R1	NHERF1	summary_D
SMARCB2	SMARCA2	summary_A
SPATA5	AFG2A	summary_D
SPATA5L1	AFG2B	summary_D
SPG20	SPART	summary_D
STING	STING1	summary_D
TAZ	TAFAZZIN	summary_D
TDGF1	CRIPTO	summary_D
TMCO3	SLC9D1	summary_D
TMEM199	VMA12	summary_D
TMEM5	RXYLT1	summary_D
TRAF3IP1	IFT54	summary_D
TRNC	MT-TC	summary_D
TRNF	MT-TF	summary_D
TRNH	MT-TH	summary_D
TRNK	MT-TK	summary_D
TRNL1	MT-TL1	summary_D
TRNQ	MT-TQ	summary_D
TRNS1	MT-TS1	summary_D
TRNS2	MT-TS2	summary_D
TRNV	MT-TV	summary_D
TRNW	MT-TW	summary_D
TTC37	SKIC3	summary_D
VARS	VARS1	summary_D
VCFS	TBX1	summary_A2
YARS	YARS1	summary_D
AARS	AARS1	custom_panel_review
C5ORF42	CPLANE1	custom_panel_review
CARS	CARS1	custom_panel_review
DFNA5	GSDME	custom_panel_review
DFNB59	PJVK	custom_panel_review
IARS	IARS1	custom_panel_review
IKBKAP	ELP1	custom_panel_review
KIAA0196	WASHC5	custom_panel_review
KIAA1279	KIFBP	custom_panel_review
KIAA2022	NEXMIF	custom_panel_review
LEPRE1	P3H1	custom_panel_review
MARS	MARS1	custom_panel_review
PARK2	PRKN	custom_panel_review
WARS	WARS1	custom_panel_review
