gene_symbol	pheno_score
SLC2A1	100.0000
BUD23	100.0000
TMEM270	100.0000
HSPG2	100.0000
TNRC6B	100.0000
TAF1	100.0000
SCN3A	100.0000
WAC	100.0000
FRYL	100.0000
JARID2	100.0000
TNPO2	100.0000
PIK3CA	100.0000
HDAC8	100.0000
ADNP	100.0000
NSD1	100.0000
KDM4B	100.0000
RERE	100.0000
SRCAP	100.0000
SETBP1	100.0000
GTF2IRD2	100.0000
SATB2	100.0000
NTRK2	100.0000
COMT	100.0000
ELFN1	100.0000
CLIP2	100.0000
NF1	100.0000
STX1A	100.0000
SIN3A	100.0000
FKBP6	100.0000
TBX1	100.0000
KMT2B	100.0000
RAI1	100.0000
SMARCA2	100.0000
FERRY3	100.0000
SNRPN	100.0000
SCN1A	100.0000
TUBG1	100.0000
ARVCF	100.0000
DPYS	100.0000
RREB1	100.0000
USP7	100.0000
MAGEL2	100.0000
POLA1	100.0000
SH2B1	100.0000
CDK8	100.0000
PPFIA3	100.0000
FGFR1	100.0000
GRIN2A	100.0000
STAG2	100.0000
NSUN2	100.0000
DNM1	100.0000
ELN	100.0000
MED12L	100.0000
JMJD1C	100.0000
STEEP1	100.0000
DNAJC30	100.0000
POGZ	100.0000
SPEN	100.0000
BCORL1	100.0000
MED16	100.0000
UFD1	100.0000
ZMYM2	100.0000
TRIO	100.0000
CTCF	100.0000
AP2M1	100.0000
PHF21A	100.0000
AUTS2	100.0000
HDAC4	100.0000
SEC24C	100.0000
SPTBN1	100.0000
NEXMIF	100.0000
LIMK1	100.0000
MARK2	100.0000
WDR83OS	100.0000
LRRC7	100.0000
SMC3	100.0000
NFIB	100.0000
CHD2	100.0000
RAD21	100.0000
UGGT1	100.0000
UBR5	100.0000
UPF3B	100.0000
PPP3CA	100.0000
CHRNA7	100.0000
PACS2	100.0000
TAOK1	100.0000
TET3	100.0000
AARS1	100.0000
TBL2	100.0000
KDM6B	100.0000
AGO1	100.0000
ANKRD11	100.0000
EHMT1	100.0000
SMC1A	100.0000
BAP1	100.0000
CNTNAP2	100.0000
SLC6A1	100.0000
MED12	100.0000
ARID2	100.0000
UBE3A	100.0000
RFC2	100.0000
CAMTA1	100.0000
RPS6KC1	100.0000
RNU2-2	100.0000
GTF2IRD1	100.0000
ATP6V1A	100.0000
PTEN	100.0000
SIM1	100.0000
SOX6	100.0000
YY1	100.0000
PCGF2	100.0000
SLC6A8	100.0000
TLK2	100.0000
METTL27	100.0000
ZFX	100.0000
TBCB	100.0000
GTF3C3	100.0000
UBAP2L	100.0000
OPHN1	100.0000
SEMA3E	100.0000
EIF4H	100.0000
DLL1	100.0000
GTF2I	100.0000
NCF1	100.0000
NR2F1	100.0000
APC2	100.0000
H4C5	100.0000
AMOTL1	100.0000
VPS37D	100.0000
HIRA	100.0000
NIPA2	100.0000
NIPA1	100.0000
SYNGAP1	100.0000
BAZ1B	100.0000
GP1BB	100.0000
RFX7	100.0000
IQSEC2	100.0000
DYRK1A	100.0000
CACNA1C	100.0000
CDH11	100.0000
CDC42BPB	100.0000
CHD7	100.0000
BCKDK	100.0000
FMR1	100.0000
NMNAT1	80.0000
IFT74	80.0000
ZDHHC9	80.0000
TBC1D24	80.0000
TBX2	80.0000
SETD1B	80.0000
ALG13	80.0000
BRAF	80.0000
TBC1D23	80.0000
SLC9A7	80.0000
GABRA1	80.0000
TBL1XR1	80.0000
CLTC	80.0000
NSUN6	80.0000
ANKRD17	80.0000
ARX	80.0000
PUF60	80.0000
WDR26	80.0000
SUPT16H	80.0000
NAA10	80.0000
TMEM237	80.0000
CYP27A1	80.0000
TBCK	80.0000
PIGQ	80.0000
FGFR3	80.0000
ARID1A	80.0000
ATP6V0A1	80.0000
SOX5	80.0000
CACNA1B	80.0000
ATXN7L3	80.0000
NUS1	80.0000
FLCN	80.0000
MEIS2	80.0000
NECAP1	80.0000
MTOR	80.0000
HIVEP2	80.0000
RNU5B-1	80.0000
DEPDC5	80.0000
IARS1	80.0000
IGF2	80.0000
STXBP1	80.0000
OTUD6B	80.0000
BBS2	80.0000
NAA15	80.0000
SLC35C1	80.0000
CDK19	80.0000
EEF1A2	80.0000
FOXG1	80.0000
IGF1	80.0000
NFIA	80.0000
GJA8	80.0000
KAT5	80.0000
SYNJ1	80.0000
STAG1	80.0000
HESX1	80.0000
FBXO28	80.0000
HNRNPK	80.0000
ZNF711	80.0000
DHX30	80.0000
FZR1	80.0000
ALG14	80.0000
TBR1	80.0000
MID1	80.0000
OCRL	80.0000
PIGV	80.0000
SNORD115-1	80.0000
CACNA1A	80.0000
KMT2C	80.0000
NPHP1	80.0000
RSRC1	80.0000
FRA10AC1	80.0000
NDN	80.0000
FANCD2	80.0000
STS	80.0000
ERI1	80.0000
AKT1	80.0000
PPM1D	80.0000
ADSL	80.0000
RAC1	80.0000
SLC1A2	80.0000
TOGARAM1	80.0000
EXT2	80.0000
POLD1	80.0000
MCTP2	80.0000
AGO2	80.0000
SON	80.0000
SLC13A5	80.0000
CHD5	80.0000
NIPBL	80.0000
BRD4	80.0000
DPF2	80.0000
GNE	80.0000
UBE4A	80.0000
MAP1B	80.0000
KCNA1	80.0000
TIAM1	80.0000
DPH1	80.0000
GABRA5	80.0000
ATP1A2	80.0000
OTUD5	80.0000
ATRX	80.0000
KLHL20	80.0000
RPL10	80.0000
SZT2	80.0000
GABRB2	80.0000
PIEZO2	80.0000
PWAR1	80.0000
IFNG	80.0000
PHIP	80.0000
GABRG2	80.0000
MYT1L	80.0000
RNF135	80.0000
PARS2	80.0000
GNAQ	80.0000
BMPR1A	80.0000
NONO	80.0000
PRR12	80.0000
SMARCB1	80.0000
MKS1	80.0000
SPTAN1	80.0000
TMEM138	80.0000
BRCA2	80.0000
DHCR7	80.0000
AHDC1	80.0000
PACS1	80.0000
EP300	80.0000
DALRD3	80.0000
GALNT2	80.0000
NAGA	80.0000
ZMYM3	80.0000
SMARCC2	80.0000
PIGW	80.0000
PRKAR1B	80.0000
SOX11	80.0000
KMT5B	80.0000
KCNN2	80.0000
RTL1	80.0000
DDX3X	80.0000
TSC2	80.0000
RLIM	80.0000
SNORD116-1	80.0000
GDF6	80.0000
TANC2	80.0000
AP1S2	80.0000
EBF3	80.0000
ASCC3	80.0000
CSGALNACT1	80.0000
SVBP	80.0000
GRIK2	80.0000
TMEM67	80.0000
PGAP2	80.0000
CC2D2A	80.0000
CHD8	80.0000
TMEM216	80.0000
HNRNPH2	80.0000
GABBR1	80.0000
