gene_symbol	pheno_score
CHD7	84.6154
FGFR2	76.9231
SEMA3E	69.2308
KMT2D	69.2308
RERE	69.2308
KDM6A	69.2308
FGFR3	61.5385
MED16	61.5385
ACTB	61.5385
POLR1B	53.8462
DHCR7	53.8462
POLR1C	53.8462
LMNA	53.8462
TP63	53.8462
WNT3	53.8462
TCTN3	53.8462
SALL1	53.8462
TCOF1	53.8462
NODAL	53.8462
POLR1D	53.8462
FGFR1	53.8462
NFIX	53.8462
MBTPS2	53.8462
ADNP	53.8462
LETM1	53.8462
B3GLCT	53.8462
NSD2	53.8462
CTBP1	53.8462
CPLX1	53.8462
TBX1	46.1538
POLR1A	46.1538
TGIF1	46.1538
JMJD1C	46.1538
ARVCF	46.1538
CRIPTO	46.1538
UFD1	46.1538
SOX9	46.1538
HDAC8	46.1538
DLL1	46.1538
FGF8	46.1538
CDON	46.1538
NIPBL	46.1538
FANCB	46.1538
HIRA	46.1538
EFTUD2	46.1538
GLI2	46.1538
ZIC2	46.1538
FGF10	46.1538
PTCH1	46.1538
FANCL	46.1538
SHH	46.1538
MED12	46.1538
WAC	46.1538
FANCF	46.1538
RREB1	46.1538
OFD1	46.1538
SEC24C	46.1538
PI4KA	46.1538
GP1BB	46.1538
DISP1	46.1538
COMT	46.1538
RPL11	46.1538
FOXH1	46.1538
SIX3	46.1538
CDC45	46.1538
GAS1	46.1538
GBA1	46.1538
CREBBP	46.1538
FIG4	46.1538
FKTN	46.1538
NELFA	46.1538
TBX4	46.1538
PIGG	46.1538
PIGN	46.1538
HNRNPK	46.1538
EP300	46.1538
FKRP	46.1538
DCHS1	38.4615
IRF6	38.4615
SALL4	38.4615
GLI3	38.4615
FAT4	38.4615
SUFU	38.4615
FAAP100	38.4615
SMC1A	38.4615
RPS26	38.4615
SPINT2	38.4615
TWIST1	38.4615
ERF	38.4615
TBC1D32	38.4615
FLNA	38.4615
ZNF699	38.4615
NAA10	38.4615
NRAS	38.4615
WBP4	38.4615
DLK1	38.4615
SKIC3	38.4615
ASXL1	38.4615
KRAS	38.4615
EIF4A2	38.4615
WASHC5	38.4615
ADA2	38.4615
ZMYM2	38.4615
KIAA0586	38.4615
HRAS	38.4615
DPYSL5	38.4615
PCGF2	38.4615
POGZ	38.4615
BRAF	38.4615
AHDC1	38.4615
DACT1	38.4615
MEG3	38.4615
EPG5	38.4615
RTL1	38.4615
NOTCH3	38.4615
DYRK1A	38.4615
MAN2C1	38.4615
POMT2	38.4615
LARGE1	38.4615
POMT1	38.4615
RSPO2	38.4615
HSPG2	38.4615
TXNL4A	30.7692
RAD21	30.7692
BRD4	30.7692
FOXE1	30.7692
PTH1R	30.7692
MAPK1	30.7692
SMC3	30.7692
SMCHD1	30.7692
DHODH	30.7692
EPCAM	30.7692
ZMPSTE24	30.7692
SLC12A2	30.7692
SRPX2	30.7692
USP9X	30.7692
IGBP1	30.7692
ARID1B	30.7692
BCR	30.7692
CRKL	30.7692
CDH1	30.7692
ADGRG1	30.7692
AGRN	30.7692
MYO9A	30.7692
SNAP25	30.7692
SCN4A	30.7692
SLC5A7	30.7692
SLC25A1	30.7692
COL13A1	30.7692
MID1	30.7692
SYT2	30.7692
SLC18A3	30.7692
CHAT	30.7692
VAMP1	30.7692
FBXO22	30.7692
CILK1	30.7692
PQBP1	30.7692
ZFX	30.7692
IPO8	30.7692
IFT56	30.7692
RBSN	30.7692
ESCO2	30.7692
RNU4ATAC	30.7692
NDUFB11	30.7692
AHI1	30.7692
AMER1	30.7692
ANK1	30.7692
SLF2	30.7692
PRIM1	30.7692
C2CD3	30.7692
RPS28	30.7692
HACD1	30.7692
PACS1	30.7692
KIF15	30.7692
POLA1	30.7692
ZEB2	30.7692
LONP1	30.7692
CCDC22	30.7692
FGFRL1	30.7692
UGGT1	30.7692
CTCF	30.7692
PIK3CA	30.7692
EXT2	30.7692
VPS35L	30.7692
FBXO11	30.7692
ITPR3	30.7692
COX7B	30.7692
HCCS	30.7692
ATP6V1A	30.7692
LMBRD1	30.7692
BUB1B	30.7692
KDM6B	30.7692
ZNF668	30.7692
PSMD12	30.7692
DBR1	30.7692
MAP2K2	30.7692
BCOR	30.7692
KAT6B	30.7692
MAF	30.7692
FGF3	30.7692
PUF60	30.7692
KCTD1	30.7692
CSPP1	30.7692
BMP4	30.7692
CASK	30.7692
TFAP2A	30.7692
SATB2	30.7692
LIG4	30.7692
KIF7	30.7692
SIN3A	30.7692
PRMT7	30.7692
NR4A2	30.7692
CRPPA	30.7692
OTX2	30.7692
NHEJ1	30.7692
SMO	30.7692
PLVAP	30.7692
HYLS1	30.7692
KCNAB2	30.7692
EIF5A	30.7692
SKI	30.7692
POLE	30.7692
LUZP1	30.7692
HIVEP2	30.7692
SPOP	30.7692
PDPN	30.7692
SPEN	30.7692
PRDM16	30.7692
CASZ1	30.7692
PLEC	30.7692
RIC1	30.7692
PRKCZ	30.7692
UBE4B	30.7692
STAG2	30.7692
ATRX	30.7692
GABRD	30.7692
MMP23B	30.7692
RAD51	23.0769
UBE2T	23.0769
FANCG	23.0769
RFWD3	23.0769
BRCA1	23.0769
GRIN2B	23.0769
RAD51C	23.0769
POR	23.0769
PALB2	23.0769
NBN	23.0769
SLX4	23.0769
FANCC	23.0769
ERCC4	23.0769
BRCA2	23.0769
BRIP1	23.0769
ITCH	23.0769
FANCI	23.0769
FANCD2	23.0769
PAICS	23.0769
XRCC2	23.0769
FANCM	23.0769
FANCE	23.0769
FANCA	23.0769
MAD2L2	23.0769
PAX8	23.0769
EXOSC9	23.0769
VRK1	23.0769
GNB1	23.0769
CACNA1C	23.0769
SLC25A46	23.0769
PLP1	23.0769
MAP3K7	23.0769
JAG1	23.0769
ITPR1	23.0769
BMP2	23.0769
KAT6A	23.0769
PPP1CB	23.0769
DPH5	23.0769
EBF3	23.0769
TBX22	23.0769
GJA8	23.0769
RIT1	23.0769
SPECC1L	23.0769
PIGA	23.0769
AMOTL1	23.0769
ADAT3	23.0769
MAX	23.0769
RPS19	23.0769
SNRPB	23.0769
MPDZ	23.0769
NKX2-5	23.0769
DYNC2LI1	23.0769
SPRED2	23.0769
SIK3	23.0769
RPL26	23.0769
KMT2A	23.0769
STRADA	23.0769
RPL8	23.0769
PRDM13	23.0769
GATA1	23.0769
RPS15A	23.0769
RAI1	23.0769
VAC14	23.0769
SHOC2	23.0769
FBXL4	23.0769
RPS10	23.0769
TRIO	23.0769
RPL15	23.0769
MMP2	23.0769
TRIP4	23.0769
AFG2A	23.0769
KATNB1	23.0769
RPL35	23.0769
HEATR3	23.0769
PCNT	23.0769
FLCN	23.0769
NONO	23.0769
RELN	23.0769
NFE2L2	23.0769
MAGEL2	23.0769
TBC1D24	23.0769
RPS7	23.0769
NDE1	23.0769
SOS1	23.0769
RPL9	23.0769
CHST3	23.0769
FOXC1	23.0769
RRAS2	23.0769
RPS27	23.0769
RPS24	23.0769
POLR3A	23.0769
RPL35A	23.0769
DPF2	23.0769
RPS17	23.0769
RPL18	23.0769
WDR37	23.0769
FOXP2	23.0769
FUT8	23.0769
B3GAT3	23.0769
SON	23.0769
TSR2	23.0769
LZTR1	23.0769
ECE1	23.0769
CEP290	23.0769
MEIS2	23.0769
SIAH1	23.0769
RAF1	23.0769
CBL	23.0769
MMP14	23.0769
RPS29	23.0769
ERI1	23.0769
SZT2	23.0769
RBM10	23.0769
IDH1	23.0769
SMAD4	23.0769
MOGS	23.0769
TMCO1	23.0769
RPL27	23.0769
HSPA9	23.0769
CDK13	23.0769
CHASERR	23.0769
RPL5	23.0769
PLXND1	23.0769
B3GALT6	23.0769
SETBP1	23.0769
RPS20	23.0769
NOTCH2	23.0769
RPL31	23.0769
RPL10	23.0769
ROR2	23.0769
PIGL	23.0769
B9D2	23.0769
FLI1	23.0769
TOGARAM1	23.0769
CC2D2A	23.0769
TCEAL1	23.0769
IFT74	23.0769
NSUN2	23.0769
RAB3GAP1	23.0769
TMEM237	23.0769
RAP1B	23.0769
CEP41	23.0769
TRRAP	23.0769
DDX59	23.0769
SRD5A3	23.0769
PPP2R5C	23.0769
CPLANE1	23.0769
PIBF1	23.0769
TMEM218	23.0769
SPTBN1	23.0769
TBC1D20	23.0769
ARL13B	23.0769
INPP5E	23.0769
KIAA0753	23.0769
GMPPB	23.0769
ESAM	23.0769
MKS1	23.0769
CEP120	23.0769
DPYD	23.0769
CEP104	23.0769
ARL3	23.0769
TCTN2	23.0769
TCTN1	23.0769
NPHP1	23.0769
PDE6D	23.0769
ARMC9	23.0769
MED12L	23.0769
GNAQ	23.0769
TBC1D23	23.0769
ACTG1	23.0769
TMEM231	23.0769
VPS13B	23.0769
RPGRIP1L	23.0769
KATNIP	23.0769
POMK	23.0769
AKT1	23.0769
ALG2	23.0769
TMEM216	23.0769
PAX2	23.0769
CBY1	23.0769
B9D1	23.0769
MAFB	23.0769
TMEM67	23.0769
ALG3	23.0769
ZMIZ1	23.0769
RAB3GAP2	23.0769
PBX1	23.0769
ORC6	23.0769
ORC4	23.0769
CDC6	23.0769
COG1	23.0769
BPTF	23.0769
GMNN	23.0769
UFC1	23.0769
TAF4	23.0769
ZNF462	23.0769
ORC1	23.0769
CDT1	23.0769
MBD5	23.0769
HS6ST2	23.0769
ITGB4	23.0769
SIM1	23.0769
UBAP2L	23.0769
SETD1A	23.0769
RAB34	23.0769
FRAS1	23.0769
ITGA6	23.0769
ITGA7	23.0769
CCDC47	23.0769
LMOD3	23.0769
KLHL40	23.0769
TSEN2	23.0769
MSX1	23.0769
KLHL41	23.0769
KBTBD13	23.0769
ADCY6	23.0769
TPM2	23.0769
ZC4H2	23.0769
ATP7A	23.0769
TOR1A	23.0769
TBCD	23.0769
TRAPPC12	23.0769
EXTL3	23.0769
GLE1	23.0769
IKZF1	23.0769
ABCD1	23.0769
SELENON	23.0769
CHRND	23.0769
PLAA	23.0769
NEB	23.0769
CHRNA1	23.0769
GRM7	23.0769
ATP1A2	23.0769
PIGQ	23.0769
TPM3	23.0769
MYL2	23.0769
DTYMK	23.0769
MYPN	23.0769
MAP3K20	23.0769
MUSK	23.0769
DMPK	23.0769
NECTIN1	23.0769
TSEN54	23.0769
KCNK3	23.0769
ACTA1	23.0769
POLD3	23.0769
SDHD	23.0769
BCL11B	23.0769
TBK1	23.0769
PRPS1	23.0769
PIK3CD	23.0769
IKZF2	23.0769
SDHB	23.0769
GLIS3	15.3846
CHD6	15.3846
ANTXR1	15.3846
FAM20C	15.3846
ZNF335	15.3846
WBP11	15.3846
SLC37A4	15.3846
PTPN14	15.3846
PTDSS1	15.3846
EXOSC8	15.3846
TSPYL1	15.3846
DHRSX	15.3846
DST	15.3846
IDH2	15.3846
NFASC	15.3846
COQ2	15.3846
SLC52A3	15.3846
VPS33A	15.3846
SCO2	15.3846
AGTPBP1	15.3846
SERPING1	15.3846
LYRM4	15.3846
EXOSC3	15.3846
GNPTAB	15.3846
GTPBP3	15.3846
GATA6	15.3846
RASA2	15.3846
ELN	15.3846
KDM5B	15.3846
FLNB	15.3846
SLC38A3	15.3846
SMARCA4	15.3846
PIGT	15.3846
BUB3	15.3846
DEF6	15.3846
ATN1	15.3846
PRRX1	15.3846
AUTS2	15.3846
FOXF1	15.3846
SKIC2	15.3846
KDM5A	15.3846
SRCAP	15.3846
PIGO	15.3846
TRAIP	15.3846
ARID1A	15.3846
PTEN	15.3846
GPC3	15.3846
NEK1	15.3846
UBE3B	15.3846
SOS2	15.3846
GPC4	15.3846
STK4	15.3846
ZIC3	15.3846
NF1	15.3846
COL1A1	15.3846
SMARCB1	15.3846
SMARCC2	15.3846
MAP2K1	15.3846
EHMT1	15.3846
PAN2	15.3846
SYT1	15.3846
CHD3	15.3846
SOX11	15.3846
FEM1B	15.3846
FOCAD	15.3846
