gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons
A2M	ENST00000318602	36	0		0		11	3,4,5,6,14,15,22,23,25,30,34
A2ML1	ENST00000299698	35	0		0		6	5,19,21,27,29,31
A4GALT	ENST00000642412	1	0		0		1	3
AAAS	ENST00000209873	16	0		0		1	14
AAGAB	ENST00000261880	10	0		0		3	1,4,6
AANAT	ENST00000392492	3	0		0		0	
AAR2	ENST00000320849	3	0		0		1	2
AARS1	ENST00000261772	20	0		0		9	4,5,8,9,12,14,16,17,21
AARS2	ENST00000244571	22	0		0		4	1,6,14,16
AASS	ENST00000417368	23	0		0		10	3,7,15,16,17,18,19,20,21,23
ABAT	ENST00000268251	15	0		0		6	4,7,9,12,14,15
ABCA1	ENST00000374736	49	0		0		17	2,10,11,13,17,21,23,25,27,28,29,30,35,36,41,48,49
ABCA12	ENST00000272895	53	0		1	26	28	2,4,6,7,9,10,12,14,15,17,18,19,20,21,22,25,26,30,31,32,37,38,41,43,45,46,47,53
ABCA13	ENST00000435803	62	0		0		26	2,6,11,13,14,17,18,19,20,22,24,28,30,31,32,37,39,40,42,43,45,48,51,52,58,60
ABCA2	ENST00000341511	49	0		0		3	14,18,24
ABCA3	ENST00000301732	30	0		0		18	5,6,7,9,10,11,12,13,14,16,18,21,22,24,25,30,31,33
ABCA4	ENST00000370225	50	0		0		16	3,6,9,11,14,15,19,20,21,22,29,36,41,46,47,48
ABCA5	ENST00000392676	38	0		0		8	4,7,8,12,14,19,26,36
ABCA7	ENST00000263094	46	0		0		5	4,7,12,18,23
ABCB1	ENST00000622132	27	0		0		14	3,4,5,7,8,9,11,12,13,16,18,19,21,27
ABCB11	ENST00000650372	27	0		7	22,23,24,25,26,27,28	12	2,6,7,8,20,22,23,24,25,26,27,28
ABCB4	ENST00000649586	27	0		0		13	2,5,6,7,9,10,11,14,20,22,23,25,27
ABCB5	ENST00000404938	27	0		0		10	8,9,11,14,15,16,17,18,21,24
ABCB6	ENST00000265316	19	0		0		3	3,5,15
ABCB7	ENST00000373394	16	0		3	10,13,14	16	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ABCC1	ENST00000399410	31	5	13,17,19,21,22	27	1,2,4,5,6,7,8,9,10,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31	31	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ABCC11	ENST00000356608	29	0		0		13	3,6,8,10,12,15,16,21,24,25,26,29,30
ABCC2	ENST00000647814	32	0		0		16	1,7,8,9,10,12,16,17,22,23,25,27,28,29,30,31
ABCC4	ENST00000645237	31	0		0		9	4,6,8,11,15,18,27,28,30
ABCC6	ENST00000205557	31	9	10,12,18,19,20,21,22,23,26	28	1,2,3,4,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	31	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ABCC8	ENST00000302539	39	0		0		0	
ABCC8	ENST00000389817	39	0		0		13	2,4,5,6,8,9,10,19,23,25,26,29,36
ABCC9	ENST00000261200	38	0		0		13	3,5,12,17,22,24,25,27,30,32,35,37,38
ABCD1	ENST00000218104	10	0		1	3	10	1,2,3,4,5,6,7,8,9,10
ABCD3	ENST00000370214	23	0		0		6	2,3,4,10,11,13
ABCD4	ENST00000356924	19	0		0		10	1,5,7,8,9,11,13,16,18,19
ABCG2	ENST00000237612	15	0		0		5	2,9,12,13,16
ABCG5	ENST00000405322	13	0		0		8	1,3,5,7,8,10,12,13
ABCG8	ENST00000272286	13	0		0		8	3,4,5,6,7,9,11,12
ABHD12	ENST00000339157	13	0		0		7	1,3,4,7,9,10,12
ABHD16A	ENST00000395952	20	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ABHD5	ENST00000644371	7	0		0		3	1,3,6
ABL1	ENST00000318560	11	0		0		6	3,4,5,6,10,11
ABL2	ENST00000502732	12	0		0		8	1,3,4,6,7,8,11,12
ACACA	ENST00000616317	56	1	1	47	1,2,3,4,5,6,8,9,11,12,13,14,15,17,18,19,20,21,22,23,25,26,27,28,29,31,32,33,34,35,37,38,39,40,41,42,45,47,48,49,50,51,52,53,54,55,56	56	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
ACACB	ENST00000338432	52	0		1	4	26	2,4,10,11,14,15,16,17,19,22,23,24,28,29,31,34,35,36,37,39,40,45,47,49,51,53
ACAD8	ENST00000281182	11	0		0		4	1,3,8,9
ACAD9	ENST00000308982	18	0		0		5	1,2,3,9,16
ACADL	ENST00000233710	11	0		0		4	1,2,4,6
ACADM	ENST00000370841	12	0		0		6	2,3,4,8,11,12
ACADS	ENST00000242592	10	0		0		6	2,3,4,5,7,8
ACADSB	ENST00000358776	11	0		0		3	2,7,8
ACADVL	ENST00000356839	20	0		0		4	6,7,10,18
ACAN	ENST00000560601	18	0		1	12	8	3,4,7,8,9,11,12,18
ACAT1	ENST00000265838	12	0		0		2	7,9
ACAT2	ENST00000367048	9	0		0		3	3,5,7
ACBD5	ENST00000396271	13	0		0		3	5,7,13
ACBD6	ENST00000367595	8	0		0		6	2,3,5,6,7,8
ACD	ENST00000620761	12	0		0		3	5,7,12
ACE	ENST00000290866	25	0		1	1	15	1,2,5,6,7,8,14,16,17,19,20,21,22,23,24
ACER3	ENST00000532485	11	0		0		3	1,5,6
ACHE	ENST00000241069	4	0		0		2	2,3
ACKR1	ENST00000368122	2	0		0		1	2
ACKR3	ENST00000272928	1	0		0		1	2
ACMSD	ENST00000356140	10	0		0		5	3,5,6,7,8
ACO2	ENST00000216254	18	0		0		5	7,13,14,15,16
ACOX1	ENST00000293217	14	0		0		5	1,2,6,9,12
ACOX2	ENST00000302819	14	0		0		6	4,6,10,11,13,14
ACP2	ENST00000672073	11	0		0		5	1,5,9,10,11
ACP4	ENST00000270593	11	0		0		1	6
ACP5	ENST00000648477	4	0		0		3	2,4,5
ACR	ENST00000216139	5	0		0		4	2,3,4,5
ACSF3	ENST00000614302	9	0		0		3	3,4,8
ACSL4	ENST00000672401	14	0		4	3,4,15,16	14	3,4,5,6,7,8,9,10,11,12,13,14,15,16
ACSL5	ENST00000354655	20	0		0		7	8,9,10,11,12,16,21
ACSL6	ENST00000651883	21	0		0		6	3,7,17,18,20,21
ACSM3	ENST00000289416	13	0		0		5	2,3,10,13,14
ACTA1	ENST00000366684	6	0		0		6	2,3,4,5,6,7
ACTA2	ENST00000224784	8	0		0		1	2
ACTB	ENST00000646664	5	0		0		3	3,4,5
ACTC1	ENST00000290378	6	0		0		2	3,5
ACTG1	ENST00000573283	5	0		0		5	2,3,4,5,6
ACTG2	ENST00000345517	8	0		0		2	4,6
ACTL6A	ENST00000429709	14	0		0		1	14
ACTL6B	ENST00000160382	14	0		0		1	7
ACTL7A	ENST00000333999	1	0		0		1	1
ACTL9	ENST00000324436	1	0		0		1	1
ACTN1	ENST00000394419	22	0		0		6	3,6,9,10,17,21
ACTN2	ENST00000366578	21	0		0		9	1,5,9,10,15,16,17,20,21
ACTN3	ENST00000513398	21	0		0		6	8,10,11,15,18,20
ACTN4	ENST00000252699	21	0		0		4	10,11,17,18
ACVR1	ENST00000434821	9	0		0		4	4,5,9,11
ACVR1B	ENST00000257963	9	0		0		5	2,4,6,7,8
ACVR2B	ENST00000352511	11	0		0		7	2,5,6,7,8,9,10
ACVRL1	ENST00000388922	9	0		0		3	2,4,8
ACY1	ENST00000636358	14	0		0		1	11
ADA	ENST00000372874	12	0		0		5	3,6,7,9,12
ADA2	ENST00000399837	9	0		0		4	2,3,4,9
ADAM10	ENST00000260408	16	0		0		6	3,4,8,9,12,14
ADAM17	ENST00000310823	19	0		0		5	2,12,13,17,19
ADAM20	ENST00000256389	1	0		0		1	2
ADAM22	ENST00000413139	32	0		0		8	2,3,6,11,13,17,20,29
ADAM9	ENST00000487273	22	0		1	21	7	1,3,4,6,16,21,22
ADAMTS1	ENST00000284984	9	0		0		3	1,7,9
ADAMTS10	ENST00000597188	24	0		0		9	4,7,8,9,10,11,12,17,24
ADAMTS13	ENST00000355699	29	0		0		12	5,6,8,14,16,20,21,22,23,24,26,29
ADAMTS15	ENST00000299164	8	0		0		5	1,4,5,6,8
ADAMTS17	ENST00000268070	22	0		0		14	2,3,4,6,9,11,12,13,14,16,17,19,20,22
ADAMTS18	ENST00000282849	23	0		0		12	1,3,4,5,7,8,10,12,15,16,18,22
ADAMTS19	ENST00000274487	23	0		0		10	1,2,6,7,8,11,14,18,20,21
ADAMTS2	ENST00000251582	22	0		0		8	3,4,6,11,12,13,15,19
ADAMTS3	ENST00000286657	22	0		0		8	1,2,3,6,13,15,19,22
ADAMTS6	ENST00000381055	24	0		0		11	3,4,6,7,9,13,14,15,19,23,25
ADAMTS9	ENST00000498707	39	0		1	13	20	2,3,6,8,10,11,12,13,14,17,19,20,22,23,26,27,29,32,36,37
ADAMTSL2	ENST00000651351	18	0		0		7	4,6,8,10,11,12,14
ADAMTSL4	ENST00000271643	17	0		0		5	6,8,10,11,17
ADAR	ENST00000368474	15	0		0		9	2,3,6,7,8,9,11,12,15
ADARB1	ENST00000348831	9	0		0		5	4,6,8,9,10
ADAT3	ENST00000329478	1	0		0		0	
ADCY1	ENST00000297323	20	0		0		7	1,8,9,15,16,17,18
