gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons	cds_len	dead_10x_len	dead_10x_pct	dead_20x_len	dead_20x_pct	dead_30x_len	dead_30x_pct
A2M	ENST00000318602	36	0		2	2,28	9	2,6,14,18,24,25,26,28,34	5145	0	0.0	405	7.9	1497	29.1
A2ML1	ENST00000299698	35	1	9	2	9,14	5	2,9,14,16,21	5065	135	2.7	301	5.9	862	17.0
A4GALT	ENST00000642412	1	0		0		0		1082	0	0.0	0	0.0	0	0.0
AAAS	ENST00000209873	16	0		0		0		1961	0	0.0	0	0.0	0	0.0
AACS	ENST00000316519	18	0		0		0		2379	0	0.0	0	0.0	0	0.0
AAGAB	ENST00000261880	10	1	4	2	2,4	3	2,4,8	1148	110	9.6	321	28.0	446	38.9
AANAT	ENST00000392492	3	0		1	4	1	4	684	0	0.0	326	47.7	326	47.7
AAR2	ENST00000320849	3	0		0		1	2	1215	0	0.0	0	0.0	777	64.0
AARS1	ENST00000261772	20	0		0		0		3307	0	0.0	0	0.0	0	0.0
AARS2	ENST00000244571	22	0		0		0		3398	0	0.0	0	0.0	0	0.0
AARSD1	ENST00000427569	12	0		0		0		1479	0	0.0	0	0.0	0	0.0
AASS	ENST00000417368	23	0		0		0		3241	0	0.0	0	0.0	0	0.0
AATK	ENST00000326724	14	1	12	3	1,11,12	5	1,7,10,11,12	4405	168	3.8	2886	65.5	3210	72.9
ABAT	ENST00000268251	15	0		0		0		1803	0	0.0	0	0.0	0	0.0
ABCA1	ENST00000374736	49	0		0		1	12	7766	0	0.0	0	0.0	218	2.8
ABCA10	ENST00000690296	37	1	39	3	8,24,39	19	4,6,7,8,10,12,15,17,20,22,24,25,26,27,31,32,35,36,39	5372	119	2.2	516	9.6	3081	57.4
ABCA12	ENST00000272895	53	0		0		0		8848	0	0.0	0	0.0	0	0.0
ABCA13	ENST00000435803	62	0		7	10,14,18,31,33,41,53	28	9,10,13,14,15,18,21,24,25,31,32,33,35,36,40,41,42,43,48,50,51,52,53,55,56,59,60,61	16417	0	0.0	3495	21.3	6969	42.4
