gene	transcript	exon	coord	exon_len	median_cov	is_dead_10x	is_dead_20x	is_dead_30x	gene_cds_len	gene_dead_10x_pct	gene_dead_20x_pct	gene_dead_30x_pct
A2M	ENST00000318602	2	chr12:9113349-9113553	204	36.34	0	1	1	5145	0.0	7.9	29.1
A2M	ENST00000318602	6	chr12:9109856-9110045	189	32.66	0	0	1	5145	0.0	7.9	29.1
A2M	ENST00000318602	14	chr12:9099370-9099533	163	47.97	0	0	1	5145	0.0	7.9	29.1
A2M	ENST00000318602	18	chr12:9093454-9093589	135	52.44	0	0	1	5145	0.0	7.9	29.1
A2M	ENST00000318602	24	chr12:9079628-9079825	197	36.99	0	0	1	5145	0.0	7.9	29.1
A2M	ENST00000318602	25	chr12:9079233-9079341	108	31.38	0	0	1	5145	0.0	7.9	29.1
A2M	ENST00000318602	26	chr12:9077690-9077867	177	49.61	0	0	1	5145	0.0	7.9	29.1
A2M	ENST00000318602	28	chr12:9076745-9076946	201	48.41	0	1	1	5145	0.0	7.9	29.1
A2M	ENST00000318602	34	chr12:9068729-9068852	123	41.37	0	0	1	5145	0.0	7.9	29.1
A2ML1	ENST00000299698	2	chr12:8823171-8823375	204	40.01	0	0	1	5065	2.7	5.9	17.0
A2ML1	ENST00000299698	9	chr12:8838325-8838460	135	0.00	1	1	1	5065	2.7	5.9	17.0
A2ML1	ENST00000299698	14	chr12:8846066-8846232	166	20.34	0	1	1	5065	2.7	5.9	17.0
A2ML1	ENST00000299698	16	chr12:8848709-8848924	215	46.15	0	0	1	5065	2.7	5.9	17.0
A2ML1	ENST00000299698	21	chr12:8854117-8854259	142	31.61	0	0	1	5065	2.7	5.9	17.0
AAGAB	ENST00000261880	2	chr15:67236619-67236830	211	37.92	0	1	1	1148	9.6	28.0	38.9
AAGAB	ENST00000261880	4	chr15:67235968-67236078	110	2.42	1	1	1	1148	9.6	28.0	38.9
AAGAB	ENST00000261880	8	chr15:67204033-67204158	125	37.23	0	0	1	1148	9.6	28.0	38.9
AANAT	ENST00000392492	4	chr17:76469654-76469980	326	50.45	0	1	1	684	0.0	47.7	47.7
AAR2	ENST00000320849	2	chr20:36239858-36240635	777	74.62	0	0	1	1215	0.0	0.0	64.0
AATK	ENST00000326724	1	chr17:81165927-81166002	75	22.18	0	1	1	4405	3.8	65.5	72.9
AATK	ENST00000326724	7	chr17:81126416-81126570	154	32.28	0	0	1	4405	3.8	65.5	72.9
AATK	ENST00000326724	10	chr17:81123183-81123353	170	32.77	0	0	1	4405	3.8	65.5	72.9
AATK	ENST00000326724	11	chr17:81120190-81122833	2643	50.39	0	1	1	4405	3.8	65.5	72.9
AATK	ENST00000326724	12	chr17:81119925-81120093	168	13.14	1	1	1	4405	3.8	65.5	72.9
ABCA1	ENST00000374736	12	chr9:104832563-104832781	218	51.03	0	0	1	7766	0.0	0.0	2.8
ABCA10	ENST00000690296	4	chr17:69222522-69222707	185	44.20	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	6	chr17:69219534-69219781	247	45.38	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	7	chr17:69216206-69216368	162	36.91	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	8	chr17:69215804-69216010	206	53.19	0	1	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	10	chr17:69201489-69201678	189	41.31	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	12	chr17:69194374-69194505	131	48.74	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	15	chr17:69193099-69193258	159	44.92	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	17	chr17:69191165-69191325	160	39.80	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	20	chr17:69185466-69185653	187	36.41	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	22	chr17:69182142-69182300	158	38.08	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	24	chr17:69174596-69174787	191	25.60	0	1	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	25	chr17:69174270-69174404	134	39.35	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	26	chr17:69164953-69165093	140	42.02	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	27	chr17:69164063-69164164	101	34.41	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	31	chr17:69154224-69154336	112	36.99	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	32	chr17:69153820-69154019	199	38.21	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	35	chr17:69152351-69152491	140	32.98	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	36	chr17:69152032-69152193	161	39.68	0	0	1	5372	2.2	9.6	57.4
ABCA10	ENST00000690296	39	chr17:69148816-69148935	119	7.23	1	1	1	5372	2.2	9.6	57.4
ABCA13	ENST00000435803	9	chr7:48239230-48239415	185	41.32	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	10	chr7:48240856-48241076	220	42.46	0	1	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	13	chr7:48245852-48246040	188	42.76	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	14	chr7:48248228-48248454	226	40.08	0	1	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	15	chr7:48249201-48249361	160	51.12	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	18	chr7:48278083-48279930	1847	62.98	0	1	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	21	chr7:48295689-48295873	184	55.06	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	24	chr7:48309936-48310151	215	52.41	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	25	chr7:48313056-48313241	185	50.59	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	31	chr7:48352170-48352497	327	46.12	0	1	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	32	chr7:48367783-48367918	135	44.59	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	33	chr7:48372157-48372507	350	51.76	0	1	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	35	chr7:48376430-48376582	152	51.22	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	36	chr7:48387811-48387969	158	39.78	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	40	chr7:48410509-48410687	178	53.25	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	41	chr7:48412342-48412593	251	43.35	0	1	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	42	chr7:48427755-48427881	126	46.94	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	43	chr7:48455026-48455296	270	59.09	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	48	chr7:48489225-48489354	129	46.10	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	50	chr7:48507861-48508059	198	53.35	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	51	chr7:48511073-48511209	136	46.98	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	52	chr7:48516714-48516891	177	42.23	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	53	chr7:48520030-48520304	274	46.32	0	1	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	55	chr7:48528225-48528355	130	41.06	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	56	chr7:48580213-48580384	171	44.83	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	59	chr7:48615274-48615387	113	50.15	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	60	chr7:48643277-48643403	126	47.70	0	0	1	16417	0.0	21.3	42.4
ABCA13	ENST00000435803	61	chr7:48644606-48644764	158	47.29	0	0	1	16417	0.0	21.3	42.4
ABCA2	ENST00000341511	1	chr9:137028064-137028150	86	4.21	1	1	1	8291	1.0	1.0	7.9
ABCA2	ENST00000341511	30	chr9:137012991-137013328	337	58.01	0	0	1	8291	1.0	1.0	7.9
ABCA2	ENST00000341511	31	chr9:137012701-137012935	234	60.68	0	0	1	8291	1.0	1.0	7.9
ABCA5	ENST00000392676	2	chr17:69314303-69314425	122	36.94	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	3	chr17:69313081-69313306	225	42.16	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	6	chr17:69306714-69306964	250	38.29	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	8	chr17:69302707-69302916	209	0.00	1	1	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	9	chr17:69301128-69301296	168	46.47	0	1	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	10	chr17:69297180-69297369	189	51.78	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	12	chr17:69291205-69291336	131	37.33	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	13	chr17:69289851-69290047	196	50.44	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	15	chr17:69287602-69287761	159	39.58	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	22	chr17:69270602-69270760	158	42.24	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	24	chr17:69264724-69264915	191	26.14	0	1	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	26	chr17:69261114-69261269	155	41.16	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	27	chr17:69260327-69260422	95	35.43	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	28	chr17:69259695-69259807	112	35.90	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	29	chr17:69256146-69256293	147	40.89	0	0	1	5689	3.7	10.0	47.5
ABCA5	ENST00000392676	32	chr17:69254304-69254500	196	46.14	0	0	1	5689	3.7	10.0	47.5
ABCA6	ENST00000284425	3	chr17:69137285-69137510	225	50.68	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	4	chr17:69136081-69136260	179	32.94	0	1	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	6	chr17:69133630-69133877	247	43.24	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	8	chr17:69128608-69128814	206	34.64	0	1	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	9	chr17:69124877-69125045	168	40.20	0	1	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	10	chr17:69123228-69123417	189	37.87	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	13	chr17:69114751-69114947	196	37.49	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	17	chr17:69110790-69110950	160	45.30	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	20	chr17:69105451-69105638	187	49.19	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	22	chr17:69100786-69100944	158	34.12	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	23	chr17:69097909-69098037	128	34.98	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	30	chr17:69086607-69086745	138	32.95	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	31	chr17:69085614-69085726	112	36.80	0	0	1	5614	0.0	9.9	43.3
ABCA6	ENST00000284425	35	chr17:69083201-69083341	140	39.09	0	0	1	5614	0.0	9.9	43.3
ABCA7	ENST00000263094	5	chr19:1042053-1042186	133	37.10	0	0	1	7361	5.0	5.0	14.2
ABCA7	ENST00000263094	6	chr19:1042304-1042407	103	38.77	0	0	1	7361	5.0	5.0	14.2
ABCA7	ENST00000263094	7	chr19:1042735-1042836	101	41.58	0	0	1	7361	5.0	5.0	14.2
ABCA7	ENST00000263094	13	chr19:1046219-1046416	197	61.95	0	0	1	7361	5.0	5.0	14.2
ABCA7	ENST00000263094	22	chr19:1051931-1052136	205	8.35	1	1	1	7361	5.0	5.0	14.2
ABCA7	ENST00000263094	37	chr19:1058135-1058279	144	39.99	0	0	1	7361	5.0	5.0	14.2
ABCA7	ENST00000263094	42	chr19:1062161-1062323	162	4.38	1	1	1	7361	5.0	5.0	14.2
ABCB11	ENST00000650372	5	chr2:169013261-169013520	259	42.16	0	0	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	10	chr2:168986099-168986294	195	39.49	0	1	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	19	chr2:168957953-168958138	185	42.62	0	1	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	21	chr2:168944594-168944776	182	43.24	0	0	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	22	chr2:168936219-168936443	224	25.50	0	1	1	4506	4.8	41.6	51.4
ABCB11	ENST00000650372	23	chr2:168935173-168935435	262	25.55	0	1	1	4506	4.8	41.6	51.4
