gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_15x_n	dead_15x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons	cds_len	dead_10x_len	dead_10x_pct	dead_15x_len	dead_15x_pct	dead_20x_len	dead_20x_pct	dead_30x_len	dead_30x_pct
A2M	ENST00000318602	36	0		0		0		10	3-4,6,14-15,22-23,25,30,34	5145	0	0.0	0	0.0	0	0.0	1421	27.6
A2ML1	ENST00000299698	35	0		0		0		5	5,19,21,27,29	5065	0	0.0	0	0.0	0	0.0	762	15.0
A4GALT	ENST00000642412	1	0		0		0		1	3	1082	0	0.0	0	0.0	0	0.0	1082	100.0
AAAS	ENST00000209873	16	0		0		0		1	14	1961	0	0.0	0	0.0	0	0.0	102	5.2
AACS	ENST00000316519	18	0		0		0		4	7,11,13,17	2379	0	0.0	0	0.0	0	0.0	544	22.9
AAGAB	ENST00000261880	10	0		0		0		3	1,4,6	1148	0	0.0	0	0.0	0	0.0	306	26.7
AANAT	ENST00000392492	3	0		0		0		0		684	0	0.0	0	0.0	0	0.0	0	0.0
AAR2	ENST00000320849	3	0		0		0		1	2	1215	0	0.0	0	0.0	0	0.0	777	64.0
AARS1	ENST00000261772	20	0		0		0		7	4-5,9,12,16-17,21	3307	0	0.0	0	0.0	0	0.0	1217	36.8
AARS2	ENST00000244571	22	0		0		0		3	1,6,14	3398	0	0.0	0	0.0	0	0.0	590	17.4
AARSD1	ENST00000427569	12	0		0		0		2	2,9	1479	0	0.0	0	0.0	0	0.0	264	17.8
AASS	ENST00000417368	23	0		0		0		9	3,7,15-21	3241	0	0.0	0	0.0	0	0.0	1304	40.2
AATK	ENST00000326724	14	0		0		0		2	11-12	4405	0	0.0	0	0.0	0	0.0	2811	63.8
ABAT	ENST00000268251	15	0		0		0		4	4,7,14-15	1803	0	0.0	0	0.0	0	0.0	450	25.0
ABCA1	ENST00000374736	49	0		0		0		13	2,10-11,21,23,25,27-30,35,48-49	7766	0	0.0	0	0.0	0	0.0	2049	26.4
ABCA10	ENST00000690296	37	0		0		0		9	5-6,13,15,17,27,30,36,39	5372	0	0.0	0	0.0	0	0.0	1405	26.2
ABCA12	ENST00000272895	53	0		1	26	1	26	20	2,4,10,12,15,17,20-22,25-26,30-32,37-38,41,43,45,53	8848	0	0.0	155	1.8	155	1.8	3601	40.7
ABCA13	ENST00000435803	62	0		0		0		22	6,11,13-14,17-18,20,24,28,30-32,37,39-40,42-43,45,48,51-52,60	16417	0	0.0	0	0.0	0	0.0	10189	62.1
ABCA2	ENST00000341511	49	0		0		0		3	14,18,24	8291	0	0.0	0	0.0	0	0.0	568	6.9
ABCA3	ENST00000301732	30	0		0		0		14	5-7,10-14,22,24-25,30-31,33	5715	0	0.0	0	0.0	0	0.0	2737	47.9
ABCA4	ENST00000370225	50	0		0		0		11	6,11,14-15,20-22,36,46-48	7822	0	0.0	0	0.0	0	0.0	2096	26.8
ABCA5	ENST00000392676	38	0		0		0		6	4,7-8,14,26,36	5689	0	0.0	0	0.0	0	0.0	1018	17.9
ABCA6	ENST00000284425	38	0		0		0		9	3-4,17,19-21,30,36,39	5614	0	0.0	0	0.0	0	0.0	1530	27.3
ABCA7	ENST00000263094	46	0		0		0		3	4,7,12	7361	0	0.0	0	0.0	0	0.0	513	7.0
ABCB1	ENST00000622132	27	0		0		0		10	3-4,7,9,11,13,18-19,21,27	4383	0	0.0	0	0.0	0	0.0	1614	36.8
ABCB11	ENST00000650372	27	0		0		0		7	6-8,13,20,24,26	4506	0	0.0	0	0.0	0	0.0	1129	25.1
ABCB4	ENST00000649586	27	0		0		0		11	2,5-7,9-11,20,23,25,27	4380	0	0.0	0	0.0	0	0.0	1689	38.6
ABCB5	ENST00000404938	27	0		0		0		8	9,14-18,21,24	4314	0	0.0	0	0.0	0	0.0	1422	33.0
ABCB6	ENST00000265316	19	0		0		0		2	3,15	2909	0	0.0	0	0.0	0	0.0	396	13.6
ABCB7	ENST00000373394	16	0		0		3	10,13-14	16	1-16	2579	0	0.0	0	0.0	494	19.2	2579	100.0
ABCB9	ENST00000280560	11	0		0		0		5	2-3,5,8,10	2521	0	0.0	0	0.0	0	0.0	1371	54.4
ABCC1	ENST00000399410	31	0		0		0		11	8-9,17,19-24,27,29	5216	0	0.0	0	0.0	0	0.0	2250	43.1
ABCC11	ENST00000356608	29	0		0		0		11	3,8,10,12,15-16,21,25-26,29-30	4729	0	0.0	0	0.0	0	0.0	1859	39.3
ABCC12	ENST00000311303	29	0		0		0		14	5-6,8,11-13,16-17,20,22-23,27-28,31	4660	0	0.0	0	0.0	0	0.0	2301	49.4
ABCC2	ENST00000647814	32	0		0		0		13	7-10,12,16,22-23,25,28-31	5278	0	0.0	0	0.0	0	0.0	2597	49.2
ABCC4	ENST00000645237	31	0		0		0		6	4,6,8,15,28,30	4598	0	0.0	0	0.0	0	0.0	1277	27.8
ABCC6	ENST00000205557	31	0		0		0		14	2-4,8,12,15-16,18-19,23-25,27,29	5132	0	0.0	0	0.0	0	0.0	2624	51.1
ABCC8	ENST00000302539	39	0		0		0		0		5529	0	0.0	0	0.0	0	0.0	0	0.0
ABCC8	ENST00000389817	39	0		0		0		11	2,4,6,8-10,19,25-26,29,36	5526	0	0.0	0	0.0	0	0.0	1877	34.0
ABCC9	ENST00000261200	38	0		0		0		13	3,5,12,17,22,24-25,27,30,32,35,37-38	5410	0	0.0	0	0.0	0	0.0	1725	31.9
ABCD1	ENST00000218104	10	0		0		0		10	1-10	2438	0	0.0	0	0.0	0	0.0	2438	100.0
ABCD3	ENST00000370214	23	0		0		0		6	2-4,10-11,13	2440	0	0.0	0	0.0	0	0.0	577	23.6
ABCD4	ENST00000356924	19	0		0		0		8	1,5,8-9,13,16,18-19	2201	0	0.0	0	0.0	0	0.0	862	39.2
ABCG2	ENST00000237612	15	0		0		0		4	2,9,13,16	2268	0	0.0	0	0.0	0	0.0	837	36.9
ABCG5	ENST00000405322	13	0		0		0		7	1,5,7-8,10,12-13	2216	0	0.0	0	0.0	0	0.0	1206	54.4
ABCG8	ENST00000272286	13	0		0		0		7	3-7,11-12	2282	0	0.0	0	0.0	0	0.0	1498	65.6
ABHD12	ENST00000339157	13	0		0		0		7	1,3-4,7,9-10,12	1457	0	0.0	0	0.0	0	0.0	978	67.1
ABHD16A	ENST00000395952	20	0		0		0		2	1,11	2077	0	0.0	0	0.0	0	0.0	222	10.7
ABHD2	ENST00000352732	9	0		0		0		3	6,10-11	1458	0	0.0	0	0.0	0	0.0	526	36.1
ABHD5	ENST00000644371	7	0		0		0		3	1,3,6	1190	0	0.0	0	0.0	0	0.0	667	56.1
ABI2	ENST00000261018	12	0		0		0		0		1869	0	0.0	0	0.0	0	0.0	0	0.0
ABL1	ENST00000318560	11	0		0		0		3	4,10-11	3613	0	0.0	0	0.0	0	0.0	2213	61.3
ABL2	ENST00000502732	12	0		0		0		5	1,3-4,11-12	3789	0	0.0	0	0.0	0	0.0	2622	69.2
ABRAXAS1	ENST00000321945	9	0		0		0		3	2,5,9	1410	0	0.0	0	0.0	0	0.0	779	55.2
ACAA1	ENST00000333167	12	0		0		0		3	6,9,12	1515	0	0.0	0	0.0	0	0.0	415	27.4
ACACA	ENST00000616317	56	0		0		0		16	1-2,12-13,15,22,25,28-29,35,38,40,42,51,54-55	8272	0	0.0	0	0.0	0	0.0	2525	30.5
ACACB	ENST00000338432	52	0		0		0		24	2,4,10-11,14-17,19,22-24,28-29,31,34-37,39,45,47,49,53	8417	0	0.0	0	0.0	0	0.0	4426	52.6
ACAD8	ENST00000281182	11	0		0		0		3	1,8-9	1468	0	0.0	0	0.0	0	0.0	420	28.6
ACAD9	ENST00000308982	18	0		0		0		4	1-3,16	2226	0	0.0	0	0.0	0	0.0	555	24.9
ACADL	ENST00000233710	11	0		0		0		4	1-2,4,6	1513	0	0.0	0	0.0	0	0.0	643	42.5
ACADM	ENST00000370841	12	0		0		0		6	2-4,8,11-12	1506	0	0.0	0	0.0	0	0.0	806	53.5
ACADS	ENST00000242592	10	0		0		0		4	2-3,5,8	1439	0	0.0	0	0.0	0	0.0	642	44.6
ACADSB	ENST00000358776	11	0		0		0		1	8	1519	0	0.0	0	0.0	0	0.0	110	7.2
ACADVL	ENST00000356839	20	0		0		0		4	6-7,10,18	2368	0	0.0	0	0.0	0	0.0	632	26.7
ACAN	ENST00000560601	18	0		0		0		7	3-4,7-9,11-12	8067	0	0.0	0	0.0	0	0.0	6186	76.7
ACAP3	ENST00000354700	24	0		0		0		0		2985	0	0.0	0	0.0	0	0.0	0	0.0
ACAT1	ENST00000265838	12	0		0		0		2	7,9	1524	0	0.0	0	0.0	0	0.0	305	20.0
ACAT2	ENST00000367048	9	0		0		0		3	3,5,7	1374	0	0.0	0	0.0	0	0.0	541	39.4
ACBD5	ENST00000396271	13	0		0		0		3	5,7,13	1838	0	0.0	0	0.0	0	0.0	392	21.3
ACBD6	ENST00000367595	8	0		0		0		6	2-3,5-8	1009	0	0.0	0	0.0	0	0.0	664	65.8
ACCS	ENST00000263776	14	0		0		0		4	2,11-13	1786	0	0.0	0	0.0	0	0.0	699	39.1
ACD	ENST00000620761	12	0		0		0		3	5,7,12	1617	0	0.0	0	0.0	0	0.0	336	20.8
ACE	ENST00000290866	25	0		0		0		12	1-2,5-6,14,17,19-24	4421	0	0.0	0	0.0	0	0.0	2250	50.9
ACER2	ENST00000340967	6	0		0		0		0		948	0	0.0	0	0.0	0	0.0	0	0.0
ACER3	ENST00000532485	11	0		0		0		1	5	1024	0	0.0	0	0.0	0	0.0	102	10.0
ACHE	ENST00000241069	4	0		0		0		2	2-3	1925	0	0.0	0	0.0	0	0.0	1593	82.8
ACKR1	ENST00000368122	2	0		0		0		1	2	1051	0	0.0	0	0.0	0	0.0	1010	96.1
ACKR3	ENST00000272928	1	0		0		0		1	2	1109	0	0.0	0	0.0	0	0.0	1109	100.0
ACLY	ENST00000352035	28	0		0		0		8	9-11,16,18,23-24,27	3866	0	0.0	0	0.0	0	0.0	1232	31.9
ACMSD	ENST00000356140	10	0		0		0		4	3,5-6,8	1211	0	0.0	0	0.0	0	0.0	681	56.2
ACO1	ENST00000309951	20	0		0		0		3	3,14,20	3070	0	0.0	0	0.0	0	0.0	572	18.6
ACO2	ENST00000216254	18	0		0		0		5	7,13-16	2703	0	0.0	0	0.0	0	0.0	809	29.9
ACOT7	ENST00000361521	9	0		0		0		3	5-6,8	1293	0	0.0	0	0.0	0	0.0	447	34.6
