gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons
A2M	ENST00000318602	36	0		2	2,28	9	2,6,14,18,24-26,28,34
A2ML1	ENST00000299698	35	1	9	2	9,14	5	2,9,14,16,21
A4GALT	ENST00000642412	1	0		0		0	
AAAS	ENST00000209873	16	0		0		0	
AAGAB	ENST00000261880	10	1	4	2	2,4	3	2,4,8
AANAT	ENST00000392492	3	0		1	4	1	4
AAR2	ENST00000320849	3	0		0		1	2
AARS1	ENST00000261772	20	0		0		0	
AARS2	ENST00000244571	22	0		0		0	
AASS	ENST00000417368	23	0		0		0	
ABAT	ENST00000268251	15	0		0		0	
ABCA1	ENST00000374736	49	0		0		1	12
ABCA12	ENST00000272895	53	0		0		0	
ABCA13	ENST00000435803	62	0		7	10,14,18,31,33,41,53	28	9-10,13-15,18,21,24-25,31-33,35-36,40-43,48,50-53,55-56,59-61
ABCA2	ENST00000341511	49	1	1	1	1	3	1,30-31
ABCA3	ENST00000301732	30	0		0		0	
ABCA4	ENST00000370225	50	0		0		0	
ABCA5	ENST00000392676	38	1	8	3	8-9,24	16	2-3,6,8-10,12-13,15,22,24,26-29,32
ABCA7	ENST00000263094	46	2	22,42	2	22,42	7	5-7,13,22,37,42
ABCB1	ENST00000622132	27	0		0		0	
ABCB11	ENST00000650372	27	1	25	9	10,19,22-28	11	5,10,19,21-28
ABCB4	ENST00000649586	27	0		0		0	
ABCB5	ENST00000404938	27	1	16	1	16	7	6,9,14-16,27-28
ABCB6	ENST00000265316	19	0		0		2	1,5
ABCB7	ENST00000373394	16	0		0		1	13
ABCC1	ENST00000399410	31	5	1,13,19,21-22	11	1-2,8,13,17-19,21-23,30	26	1-5,7-10,12-13,15-27,29-30
ABCC11	ENST00000356608	29	1	3	1	3	5	3,11-13,25
ABCC2	ENST00000647814	32	0		0		0	
ABCC4	ENST00000645237	31	0		2	11,25	6	6,11,16,19,21,25
ABCC6	ENST00000205557	31	2	18-19	4	12,18-19,26	10	10-12,18-19,21,25-27,30
ABCC8	ENST00000302539	39	0		0		0	
ABCC8	ENST00000389817	39	0		0		0	
ABCC9	ENST00000261200	38	0		1	29	1	29
ABCD1	ENST00000218104	10	0		0		0	
ABCD3	ENST00000370214	23	0		0		0	
ABCD4	ENST00000356924	19	0		0		1	1
ABCG2	ENST00000237612	15	0		0		4	6,9,12,16
ABCG5	ENST00000405322	13	0		0		0	
ABCG8	ENST00000272286	13	0		0		0	
ABHD12	ENST00000339157	13	0		1	1	1	1
ABHD16A	ENST00000395952	20	11	1-3,5,7-8,10-13,16	20	1-20	20	1-20
ABHD5	ENST00000644371	7	0		0		0	
ABL1	ENST00000318560	11	1	4	2	4,11	4	2-4,11
ABL2	ENST00000502732	12	0		1	5	4	4-5,7,9
ACACA	ENST00000616317	56	0		3	1-2,15	11	1-2,11,13,15,27,30,34-36,44
ACACB	ENST00000338432	52	1	13	1	13	6	2,13,18,41-42,53
ACAD8	ENST00000281182	11	0		0		0	
ACAD9	ENST00000308982	18	0		0		0	
ACADL	ENST00000233710	11	0		0		0	
ACADM	ENST00000370841	12	0		0		0	
ACADS	ENST00000242592	10	0		0		0	
ACADSB	ENST00000358776	11	0		0		0	
ACADVL	ENST00000356839	20	0		0		0	
ACAN	ENST00000560601	18	1	7	2	3,7	3	3,6-7
ACAT1	ENST00000265838	12	0		0		0	
ACAT2	ENST00000367048	9	0		0		1	9
ACBD5	ENST00000396271	13	0		0		0	
ACBD6	ENST00000367595	8	0		0		0	
ACD	ENST00000620761	12	0		0		1	9
ACE	ENST00000290866	25	1	1	1	1	1	1
ACER3	ENST00000532485	11	0		0		3	1-2,7
ACHE	ENST00000241069	4	0		2	3-4	2	3-4
ACKR1	ENST00000368122	2	0		0		0	
ACKR3	ENST00000272928	1	0		0		0	
ACMSD	ENST00000356140	10	0		0		0	
ACO2	ENST00000216254	18	0		0		3	3-5
ACOX1	ENST00000293217	14	0		0		0	
ACOX2	ENST00000302819	14	0		2	7,9	3	7,9-10
ACP2	ENST00000672073	11	0		0		0	
ACP4	ENST00000270593	11	1	5	1	5	2	5,10
ACP5	ENST00000648477	4	0		0		0	
ACR	ENST00000216139	5	0		1	5	1	5
ACSF3	ENST00000614302	9	0		0		0	
ACSL4	ENST00000672401	14	0		0		1	5
ACSL5	ENST00000354655	20	0		0		2	7,18
ACSL6	ENST00000651883	21	1	4	1	4	1	4
ACSM3	ENST00000289416	13	1	11	1	11	1	11
ACTA1	ENST00000366684	6	0		0		0	
ACTA2	ENST00000224784	8	0		0		1	8
ACTB	ENST00000646664	5	0		0		0	
ACTC1	ENST00000290378	6	0		0		0	
ACTG1	ENST00000573283	5	0		0		0	
ACTG2	ENST00000345517	8	0		0		0	
ACTL6A	ENST00000429709	14	0		0		2	3,12
ACTL6B	ENST00000160382	14	1	1	2	1-2	2	1-2
ACTL7A	ENST00000333999	1	0		0		0	
ACTL9	ENST00000324436	1	0		0		1	1
ACTN1	ENST00000394419	22	0		2	20,22	2	20,22
ACTN2	ENST00000366578	21	0		0		1	1
ACTN3	ENST00000513398	21	0		0		2	1,10
ACTN4	ENST00000252699	21	0		0		0	
ACVR1	ENST00000434821	9	0		0		0	
ACVR1B	ENST00000257963	9	1	1	1	1	3	1,4,7
ACVR2B	ENST00000352511	11	1	1	1	1	1	1
ACVRL1	ENST00000388922	9	0		0		0	
ACY1	ENST00000636358	14	0		0		0	
ADA	ENST00000372874	12	0		0		0	
ADA2	ENST00000399837	9	0		0		0	
ADAM10	ENST00000260408	16	0		0		0	
ADAM17	ENST00000310823	19	2	7,10	2	7,10	6	2,4-5,7,9-10
ADAM20	ENST00000256389	1	0		0		0	
ADAM22	ENST00000413139	32	0		0		5	15,21,24,26-27
ADAM9	ENST00000487273	22	0		0		0	
ADAMTS1	ENST00000284984	9	0		1	1	4	1-2,6,8
ADAMTS10	ENST00000597188	24	0		1	24	1	24
ADAMTS13	ENST00000355699	29	1	7	1	7	1	7
ADAMTS15	ENST00000299164	8	0		1	5	4	1,4-5,8
ADAMTS17	ENST00000268070	22	1	2	1	2	1	2
ADAMTS18	ENST00000282849	23	0		0		1	1
ADAMTS19	ENST00000274487	23	2	2,22	3	2-3,22	11	2-4,8-9,11,15,17,19,21-22
ADAMTS2	ENST00000251582	22	1	1	1	1	1	1
ADAMTS3	ENST00000286657	22	0		1	4	9	3-4,8,10-12,14,18,22
ADAMTS6	ENST00000381055	24	2	13,17	2	13,17	9	4,11,13,17,19-21,23-24
ADAMTS9	ENST00000498707	39	2	16-17	2	16-17	12	3-5,13,16-19,21,26,28,32
ADAMTSL2	ENST00000651351	18	0		0		1	10
ADAMTSL4	ENST00000271643	17	0		0		0	
ADAR	ENST00000368474	15	0		0		0	
ADARB1	ENST00000348831	9	1	8	1	8	2	8,11
ADAT3	ENST00000329478	1	0		0		1	2
ADCY1	ENST00000297323	20	1	1	1	1	3	1,13,16
ADCY10	ENST00000367851	32	0		0		0	
ADCY3	ENST00000679454	21	2	20,22	2	20,22	2	20,22
ADCY5	ENST00000462833	21	1	1	1	1	3	1,5,17
ADCY6	ENST00000357869	21	0		1	6	2	6,19
ADD1	ENST00000683351	15	0		1	2	3	2,7,9
ADD3	ENST00000356080	14	0		1	2	6	2,4-6,9,15
ADGRA3	ENST00000334304	19	2	1,15	2	1,15	10	1,5-6,8,10-12,15,17,19
ADGRE2	ENST00000315576	20	0		0		1	16
ADGRG1	ENST00000562631	13	0		0		0	
ADGRG2	ENST00000379869	27	0		4	5,23-24,26	15	4-5,7,13,16-19,21,23-24,26-29
ADGRG4	ENST00000394143	23	2	17,23	7	5,7,11,17,21,23,25	17	5-7,10-17,19-21,23-25
ADGRG6	ENST00000367609	25	2	4,9	6	4,9,13,16,22,25	15	3-4,6,9-10,13-16,19-20,22-25
ADGRL1	ENST00000361434	22	0		0		1	20
ADGRV1	ENST00000405460	90	6	2,7,21,78,88,90	31	2,7,9,14,17-19,21,23,29,33-34,43-44,49,51,54,56-57,63-64,68-70,72,77-78,80,82,88,90	66	2-7,9-11,13-14,17-19,21-24,27-30,33-34,37-38,41-45,47,49,51-57,59-60,62-65,67-70,72-74,77-78,80-90
ADH1B	ENST00000305046	9	0		1	2	4	2,4,7-8
ADH1C	ENST00000515683	9	0		1	2	5	2,4,6-8
ADH5	ENST00000296412	9	0		0		2	1,8
ADIPOQ	ENST00000320741	2	1	3	1	3	1	3
ADIPOR1	ENST00000340990	7	0		0		2	6,8
ADK	ENST00000539909	11	0		0		0	
ADNP	ENST00000621696	3	0		0		0	
ADPRS	ENST00000373178	6	0		0		1	6
ADRA2A	ENST00000280155	1	1	1	1	1	1	1
ADRA2B	ENST00000620793	1	0		0		0	
ADRA2C	ENST00000330055	1	1	1	1	1	1	1
ADRB1	ENST00000369295	1	1	1	1	1	1	1
ADRB2	ENST00000305988	1	0		0		0	
ADRB3	ENST00000345060	2	0		0		0	
ADSL	ENST00000623063	13	0		0		0	
ADSS1	ENST00000330877	13	1	1	1	1	2	1,12
AEBP1	ENST00000223357	21	1	14	4	2,4,12,14	7	1-2,4-5,12,14,17
AFDN	ENST00000683244	34	1	33	1	33	8	1,5,8,11,19,29,32-33
AFF2	ENST00000370460	21	0		4	2-3,11,16	16	2-3,5,8-16,18-21
AFF3	ENST00000672756	22	2	9,15	2	9,15	4	4,7,9,15
AFF4	ENST00000265343	20	0		0		3	3,11,13
AFG2A	ENST00000274008	16	1	11	3	5,11,16	7	5-6,9,11,14-16
AFG2B	ENST00000305560	8	0		0		1	2
AFG3L2	ENST00000269143	17	1	1	1	1	1	1
AFP	ENST00000395792	14	0		0		1	8
AGA	ENST00000264595	9	0		0		0	
AGAP1	ENST00000304032	18	0		0		3	6,8,11
AGBL1	ENST00000614907	23	2	1,23	2	1,23	7	1,3,8,11,18,21,23
AGBL2	ENST00000525123	18	0		1	6	5	6,9-10,12,17
AGBL5	ENST00000360131	14	0		0		3	2,4,8
AGK	ENST00000649286	15	1	12	2	12,14	7	6,10-14,16
AGL	ENST00000361915	33	0		1	6	1	6
AGMO	ENST00000342526	13	1	11	1	11	3	3,9,11
AGO1	ENST00000373204	19	1	19	2	7,19	3	7,12,19
AGO2	ENST00000220592	19	1	1	3	1,8,11	3	1,8,11
AGO3	ENST00000373191	19	0		3	1,11,15	8	1-3,5,11-13,15
AGPAT2	ENST00000371696	6	0		0		1	1
AGPAT3	ENST00000291572	8	0		0		0	
